sample_ID	filename	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
HG03041	"['m54329U_211214_012740-bc1009.5mc.hifi_reads.bam'
 'm54329U_211215_225017-bc1009.5mc.hifi_reads.bam'
 'm54329U_211217_080751-bc1009.5mc.hifi_reads.bam']"	HG03041.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5805405	112430961538	112.43	119.0	56408.0	15881.666666666666	18525.0	22048.666666666668	16659.333333333332	19671.0	23498.666666666668
HG00639	"['m54329U_211222_104516-bc1010.5mc.hifi_reads.bam'
 'm54329U_211230_014258-bc1010.5mc.hifi_reads.bam'
 'm54329U_211231_123903-bc1010.5mc.hifi_reads.bam'
 'm64076_220216_013707-bc1010.5mc.hifi_reads.bam']"	HG00639.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5317257	106165346148	106.17	79.75	58704.75	15877.0	19095.0	23229.5	17073.25	20697.5	25186.5
HG01081	"['m54329U_211223_214216-bc1011.5mc.hifi_reads.bam'
 'm54329U_220101_220852-bc1011.5mc.hifi_reads.bam'
 'm54329U_220103_072943-bc1011.5mc.hifi_reads.bam']"	HG01081.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5530935	108121409003	108.13	65.0	65453.0	15216.666666666666	18745.33333333333	23097.666666666668	16678.333333333332	20590.0	25218.0
HG03017	"['m54329U_211225_070909-bc1012.5mc.hifi_reads.bam'
 'm54329U_220109_103416-bc1012.5mc.hifi_reads.bam'
 'm54329U_220117_123334-bc1012.5mc.hifi_reads.bam'
 'm64076_220216_013707-bc1012.5mc.hifi_reads.bam'
 'm64076_221001_041132-bc1012.5mc.hifi_reads.bam']"	HG03017.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	['6.2.0' '6.2.0' '6.2.0' '6.2.0' '6.3.0']	['P2.2' 'P2.2' 'P2.2' 'P2.2' 'P3.2']	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan]	5895763	117668008222	117.67	141.2	62743.8	15862.8	19179.4	23371.8	17092.6	20821.0	25319.6
HG03239	"['m54329U_220105_011819-bc1015.5mc.hifi_reads.bam'
 'm64076_220106_231243-bc1015.5mc.hifi_reads.bam'
 'm64076_220108_100904-bc1015.5mc.hifi_reads.bam']"	HG03239.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5366948	108064496942	108.06	91.33333333333331	62667.333333333336	16369.0	19293.0	23114.33333333333	17296.333333333332	20608.666666666668	24712.666666666668
HG00558	"['m54329U_220107_233847-bc1016.5mc.hifi_reads.bam'
 'm54329U_220114_143904-bc1016.5mc.hifi_reads.bam'
 'm54329U_220116_013607-bc1016.5mc.hifi_reads.bam'
 'm64076_220216_013707-bc1016.5mc.hifi_reads.bam']"	HG00558.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5005116	105366162533	105.36	60.75	61344.25	16596.0	20001.0	24366.25	17822.25	21661.0	26393.25
HG03139	"['m54329U_220519_225150-bc2019.5mc.hifi_reads.bam'
 'm54329U_220523_155616-bc2019.5mc.hifi_reads.bam'
 'm54329U_220525_111437-bc2019.5mc.hifi_reads.bam']"	HG03139.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	5972642	128149362164	128.14	86.0	68196.0	17485.0	20584.666666666668	24571.0	18445.666666666668	21923.0	26175.0
NA18522	"['m54329U_220604_002013-bc2021.5mc.hifi_reads.bam'
 'm54329U_220605_194957-bc2021.5mc.hifi_reads.bam'
 'm54329U_220607_194753-bc2021.5mc.hifi_reads.bam']"	NA18522.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6420669	130590312599	130.59	82.33333333333333	62944.66666666666	16891.0	19536.33333333333	23073.0	17619.666666666668	20611.33333333333	24419.0
HG02922	"['m54329U_220816_182601-bc2045.5mc.hifi_reads.bam'
 'm54329U_220903_190900-bc2053.5mc.hifi_reads.bam'
 'm54329U_220905_144015-bc2053.5mc.hifi_reads.bam'
 'm54329U_220907_100858-bc2053.5mc.hifi_reads.bam'
 'm64457e_220902_165459-bc2053.5mc.hifi_reads.bam'
 'm64457e_220904_135104-bc2053.5mc.hifi_reads.bam'
 'm64457e_220906_104717-bc2053.5mc.hifi_reads.bam']"	"['PG02922.HFSS' 'PG02922.HFSS2' 'PG02922.HFSS2' 'PG02922.HFSS2'
 'PG02922.HFSS2' 'PG02922.HFSS2' 'PG02922.HFSS2']"	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan nan nan]	7220572	155275167369	155.29	587.8571428571429	57263.28571428572	16881.571428571428	20456.42857142857	24515.42857142857	18444.85714285714	22044.42857142857	26275.0
NA18747	"['m54329U_220823_191353-bc2011.5mc.hifi_reads.bam'
 'm64076_220826_143529-bc2049.5mc.hifi_reads.bam'
 'm64076_220828_113336-bc2049.5mc.hifi_reads.bam'
 'm64076_221001_041132-bc2011.5mc.hifi_reads.bam']"	['PG18747_1.HFSS' 'PG18747_2.HFSS' 'PG18747_2.HFSS' 'PG18747_1.HFSS']	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan]	5783075	119232513460	119.24	98.75	72069.5	17627.75	20036.0	23197.75	18214.5	20889.75	24223.75
HG00099	"['m54329U_220825_174247-bc2012.5mc.hifi_reads.bam'
 'm54329U_220827_143814-bc2050.5mc.hifi_reads.bam'
 'm54329U_220829_095708-bc2050.5mc.hifi_reads.bam']"	['PG00099_1.HFSS' 'PG00099_2.HFSS' 'PG00099_2.HFSS']	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	"['HiFi sequencing of 20kb fractionated gDNA'
 'HiFi sequencing of 22kb fractionated gDNA'
 'HiFi sequencing of 22kb fractionated gDNA']"	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	7095560	143968605366	143.97	92.33333333333331	59450.0	17446.0	19612.0	22598.33333333333	17938.0	20371.666666666668	23573.0
HG00280	"['m54329U_220901_221341-bc2051.5mc.hifi_reads.bam'
 'm64076_220831_191646-bc2051.5mc.hifi_reads.bam'
 'm64457e_220825_195635-bc2051.5mc.hifi_reads.bam']"	PG00280.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6372919	128423222220	128.42000000000002	86.33333333333333	58109.66666666666	17183.666666666668	19419.0	22482.0	17694.666666666668	20218.33333333333	23500.0
NA18983	"['m54329U_220903_190900-bc2055.5mc.hifi_reads.bam'
 'm54329U_220905_144015-bc2055.5mc.hifi_reads.bam'
 'm54329U_220907_100858-bc2055.5mc.hifi_reads.bam'
 'm64457e_220902_165459-bc2055.5mc.hifi_reads.bam'
 'm64457e_220904_135104-bc2055.5mc.hifi_reads.bam'
 'm64457e_220906_104717-bc2055.5mc.hifi_reads.bam']"	PG18983.HFSS2	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan nan nan nan]	6075510	128219197027	128.20999999999998	772.3333333333334	51095.16666666666	14620.5	18309.666666666668	22049.166666666668	16715.666666666668	19999.83333333333	23686.166666666668
NA19043	"['m54329U_220916_162216-bc2061.5mc.hifi_reads.bam'
 'm54329U_220918_114340-bc2061.5mc.hifi_reads.bam'
 'm54329U_220920_065703-bc2061.5mc.hifi_reads.bam']"	PG19043.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	[nan nan nan]	6110158	128958367287	128.96	80.66666666666667	68878.66666666667	17681.666666666668	20325.666666666668	23846.666666666668	18401.666666666668	21374.33333333333	25161.33333333333
HG02717	"['m64043_200403_163826.ccs.bam' 'm64043_200405_180950.ccs.bam'
 'm64043_200407_002219.ccs.bam' 'm64043_200408_064651.ccs.bam']"	HG02717_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	8190461	140299179505	140.29000000000002	46.5	48929.0	14888.75	16268.75	18537.75	15164.25	16752.75	19578.75
HG02886	"['m64043_200410_214826.ccs.bam' 'm64043_200412_040054.ccs.bam'
 'm64043_200413_102554.ccs.bam' 'm64043_200414_165107.ccs.bam']"	HG02886_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7667715	137406820574	137.4	46.25	49259.0	15824.25	17207.75	19296.0	16087.25	17634.0	20091.25
HG02630	"['m64043_200501_162248.ccs.bam' 'm64043_200502_223511.ccs.bam'
 'm64043_200504_050026.ccs.bam' 'm64043_200505_112554.ccs.bam']"	HG02630_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7849138	151012127449	151.01	45.5	49320.0	16982.75	18712.5	20973.5	17353.25	19202.25	21686.75
HG03453	"['m64043_200508_172634.ccs.bam' 'm64043_200509_233929.ccs.bam'
 'm64043_200511_060458.ccs.bam' 'm64043_200512_123035.ccs.bam']"	HG03453_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7959186	160254984026	160.26	45.75	49391.5	17771.5	19391.5	21806.0	18081.75	19884.0	22632.5
HG03579	"['m64043_200515_165406.ccs.bam' 'm64043_200516_230634.ccs.bam'
 'm64043_200518_053124.ccs.bam' 'm64043_200519_115622.ccs.bam']"	HG03579_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7673270	149989778691	150.0	46.75	49384.5	17196.75	18895.75	21219.75	17560.5	19408.25	22040.75
HG03540	"['m64043_200521_171703.ccs.bam' 'm64043_200522_232930.ccs.bam'
 'm64043_200524_055430.ccs.bam' 'm64043_200525_121851.ccs.bam']"	HG03540_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7383539	153408365956	153.41	46.0	49934.0	18344.0	20022.75	22480.0	18659.5	20528.5	23301.5
HG02622	"['m64043_200530_164723.ccs.bam' 'm64043_200601_191521.ccs.bam'
 'm64043_200603_012738.ccs.bam' 'm64043_200604_075218.ccs.bam']"	HG02622_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	6230485	143991835153	143.99	45.75	49972.75	20468.0	22330.75	25038.75	20816.0	22881.25	25895.0
HG03471	"['m64043_200606_175618.ccs.bam' 'm64043_200608_185843.ccs.bam'
 'm64043_200610_011156.ccs.bam' 'm64043_200611_073649.ccs.bam']"	HG03471_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	8140699	157173350972	157.18	45.5	49610.5	16840.25	18617.75	21239.5	17219.25	19213.0	22147.0
HG01928	"['m64043_200612_200936.ccs.bam' 'm64043_200614_191756.ccs.bam'
 'm64043_200616_013031.ccs.bam' 'm64043_200617_075530.ccs.bam']"	HG01928_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	4626072	108901985193	108.9	47.25	50064.75	20840.25	23015.75	25761.5	21297.0	23607.5	26535.0
HG01175	"['m64043_200618_201934.ccs.bam' 'm64043_200620_173220.ccs.bam'
 'm64043_200621_234442.ccs.bam' 'm64043_200623_060946.ccs.bam']"	HG01175_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5153776	111939663752	111.94	45.25	49763.0	19222.5	21073.25	23577.25	19604.5	21596.75	24378.75
HG01106	"['m64043_200625_174853.ccs.bam' 'm64043_200627_000137.ccs.bam'
 'm64043_200628_062711.ccs.bam' 'm64043_200629_125238.ccs.bam']"	HG01106_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	6506175	145118907712	145.12	46.75	49322.0	20091.0	21753.0	24033.5	20373.75	22165.25	24631.25
HG00735	"['m64043_200702_173033.ccs.bam' 'm64043_200703_234328.ccs.bam'
 'm64043_200705_060840.ccs.bam' 'm64043_200706_123423.ccs.bam']"	HG00735_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	6012929	133495423166	133.5	46.25	49725.75	19599.5	21743.25	24316.75	20089.5	22323.5	25070.5
HG00438	"['m64043_200710_174426.ccs.bam' 'm64043_200711_235708.ccs.bam'
 'm64043_200713_062240.ccs.bam' 'm64043_200714_124814.ccs.bam']"	HG00438_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5562963	127470405240	127.47	45.75	50246.5	19482.25	21685.5	25344.5	19976.0	22609.0	26889.75
HG00673	"['m64043_200716_182902.ccs.bam' 'm64043_200718_004213.ccs.bam'
 'm64043_200719_070806.ccs.bam' 'm64043_200720_133355.ccs.bam']"	HG00673_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529	[nan nan nan nan]	[nan nan nan nan]	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5901420	122489377921	122.49	46.0	49871.25	17908.5	20211.75	23169.75	18404.75	20974.0	23974.75
HG00423	"['m64043_210205_190424.hifi_reads.bam'
 'm64043_210207_011920.hifi_reads.bam'
 'm64043_210209_184051.hifi_reads.bam'
 'm64043_210211_005516.hifi_reads.bam']"	HG00423_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	9.0.0.92188	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	7842999	144453143906	144.46	79.75	55449.75	16349.0	18183.75	20091.25	16767.75	18605.5	20574.25
HG02523	"['m64043_210506_183430.hifi_reads.bam'
 'm64043_210508_033135.hifi_reads.bam'
 'm64043_210509_110105.hifi_reads.bam']"	HG02523_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4673867	97895577779	97.9	447.3333333333333	58661.0	17602.0	19320.33333333333	23070.0	17991.0	20143.666666666668	24961.33333333333
HG03710	"['m64043_210514_184131.hifi_reads.bam'
 'm64043_210516_020821.hifi_reads.bam'
 'm64043_210517_175123.hifi_reads.bam']"	HG03710_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4919405	101554674121	101.55	247.66666666666663	61070.66666666666	17310.333333333332	19165.0	22971.666666666668	17721.0	20170.0	24457.33333333333
HG02698	"['m64043_210519_013026.hifi_reads.bam'
 'm64136_210514_184433.hifi_reads.bam'
 'm64136_210517_184202.hifi_reads.bam']"	HG02698_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4875554	97463860824	97.46	267.6666666666667	56326.66666666666	17146.666666666668	18901.666666666668	22303.33333333333	17492.333333333332	19647.666666666668	23361.33333333333
HG01255	"['m64043_210520_180149.hifi_reads.bam'
 'm64136_210516_022225.hifi_reads.bam'
 'm64136_210519_033858.hifi_reads.bam']"	HG01255_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4887072	100801538682	100.8	375.3333333333333	58980.0	17203.666666666668	19612.0	22988.0	17703.666666666668	20674.666666666668	24260.0
HG03654	"['m64043_210522_023949.hifi_reads.bam'
 'm64043_210523_101851.hifi_reads.bam'
 'm64043_210524_174752.hifi_reads.bam'
 'm64043_210528_171552.hifi_reads.bam']"	HG03654_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	6026131	114052805650	114.05	308.5	57639.75	16209.25	17948.5	21119.0	16533.5	18806.5	21965.5
HG00738	"['m64043_210530_003337.hifi_reads.bam'
 'm64043_210531_080529.hifi_reads.bam'
 'm64043_210601_160048.hifi_reads.bam'
 'm64136_210602_151340.hifi_reads.bam']"	HG00738_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	4849181	105598558291	105.59	298.75	61361.25	18604.5	20355.75	23850.25	18970.75	21064.0	25469.0
HG03669	"['m64043_210604_175624.hifi_reads.bam'
 'm64043_210606_013256.hifi_reads.bam'
 'm64043_210607_090252.hifi_reads.bam'
 'm64043_210610_203329.hifi_reads.bam']"	HG03669_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5730646	113340718683	113.34	400.25	55253.5	17368.25	19730.0	21782.25	18083.5	20203.5	22312.0
HG02602	"['m64043_210612_053030.hifi_reads.bam'
 'm64043_210613_133026.hifi_reads.bam'
 'm64043_210614_223013.hifi_reads.bam'
 'm64043_210618_184604.hifi_reads.bam']"	HG02602_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	4885820	100883608683	100.89	329.0	59615.5	17768.5	19197.75	22373.0	18039.75	19770.75	23916.25
HG01993	"['m64043_210620_041711.hifi_reads.bam'
 'm64043_210622_163331.hifi_reads.bam'
 'm64043_210624_032817.hifi_reads.bam']"	HG01993_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5106510	105652792614	105.66	117.66666666666669	56029.0	18612.666666666668	20236.0	22328.666666666668	18899.666666666668	20627.666666666668	22854.0
HG01496	"['m64043_210625_184443.hifi_reads.bam'
 'm64043_210627_054642.hifi_reads.bam'
 'm64043_210628_151651.hifi_reads.bam']"	HG01496_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	4669004	103450736004	103.45	87.33333333333333	62789.66666666666	18015.33333333333	20861.0	25224.0	18696.0	22469.33333333333	26894.0
HG00544	"['m64043_210702_183246.hifi_reads.bam'
 'm64136_210520_180433.hifi_reads.bam'
 'm64136_210522_014758.hifi_reads.bam'
 'm64136_210523_100337.hifi_reads.bam'
 'm64136_210525_165246.hifi_reads.bam']"	"['HG00544_lib2' 'HG00544_lib1' 'HG00544_lib1' 'HG00544_lib1'
 'HG00544_lib1']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan nan]	6359433	123111383507	123.11	101.6	55243.2	16962.6	18503.4	21436.6	17238.0	19090.6	22309.0
HG01099	"['m64043_210704_052805.hifi_reads.bam'
 'm64043_210705_162656.hifi_reads.bam'
 'm64043_210707_032602.hifi_reads.bam']"	HG01099_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5333429	101389815928	101.4	633.0	53905.333333333336	16163.333333333334	18663.0	21069.0	16626.0	19344.666666666668	21740.33333333333
HG02004	"['m64043_210709_205614.hifi_reads.bam'
 'm64136_210702_183526.hifi_reads.bam'
 'm64136_210704_053041.hifi_reads.bam'
 'm64136_210705_162724.hifi_reads.bam']"	HG02004_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan nan]	5994441	116279722292	116.28	193.25	56206.5	16481.25	18508.75	21671.0	16875.5	19469.25	22591.5
HG01943	"['m64043_210716_230222.hifi_reads.bam'
 'm64043_210718_100009.hifi_reads.bam'
 'm64043_210719_210019.hifi_reads.bam']"	HG01943_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	5224545	98451504876	98.45	80.66666666666667	53774.0	17336.333333333332	18548.0	20039.0	17511.0	18778.33333333333	20330.33333333333
HG02809	"['m64043_210723_184340.hifi_reads.bam'
 'm64043_210725_053930.hifi_reads.bam'
 'm64043_210726_163819.hifi_reads.bam'
 'm64043_210728_163353.hifi_reads.bam']"	HG02809_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu	bc1019 barcoded adapter	5397603	114056028254	114.05	130.0	62910.75	17412.5	20547.5	23792.25	18051.75	21553.25	24974.0
HG02015	"['m64043_210901_164337-bc1022.5mc.hifi_reads.bam'
 'm64043_210903_163032-bc1022.5mc.hifi_reads.bam'
 'm64043_210905_032603-bc1022.5mc.hifi_reads.bam']"	HG02015_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	[nan nan nan]	8968594	170994721462	171.0	59.333333333333336	270461.3333333333	16054.0	17745.666666666668	21127.33333333333	16543.333333333332	18865.666666666668	22600.33333333333
