filename	path	sliced_path	bytes
HG03050.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03050/raw_data/PacBio_Kinnex/HG03050.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03050/raw_data/PacBio_Kinnex	26347537508	
HG03209.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03209/raw_data/PacBio_Kinnex/HG03209.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03209/raw_data/PacBio_Kinnex	16840371601	
HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_Kinnex/HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_Kinnex	23632380320	
HG02300.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_Kinnex/HG02300.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_Kinnex	19317785612	
HG02965.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_Kinnex/HG02965.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_Kinnex	18448344391	
NA19159.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19159/raw_data/PacBio_Kinnex/NA19159.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19159/raw_data/PacBio_Kinnex	17909921913	
HG02622.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_Kinnex/HG02622.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_Kinnex	27941448068	
HG01192.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_Kinnex/HG01192.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_Kinnex	19975380074	
HG01496.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_Kinnex/HG01496.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_Kinnex	21325922905	
NA18976.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18976/raw_data/PacBio_Kinnex/NA18976.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18976/raw_data/PacBio_Kinnex	16327146065	
HG02165.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02165/raw_data/PacBio_Kinnex/HG02165.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02165/raw_data/PacBio_Kinnex	18702233247	
NA19682.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19682/raw_data/PacBio_Kinnex/NA19682.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19682/raw_data/PacBio_Kinnex	18032663125	
HG03784.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03784/raw_data/PacBio_Kinnex/HG03784.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03784/raw_data/PacBio_Kinnex	21060665417	
HG01433.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_Kinnex/HG01433.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_Kinnex	22346963036	
HG01358.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_Kinnex/HG01358.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG01358/raw_data/PacBio_Kinnex	15752283214	
NA18620.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18620/raw_data/PacBio_Kinnex/NA18620.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18620/raw_data/PacBio_Kinnex	22514787624	
HG01167.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_Kinnex/HG01167.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01167/raw_data/PacBio_Kinnex	21043890684	
HG03041.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03041/raw_data/PacBio_Kinnex/HG03041.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03041/raw_data/PacBio_Kinnex	20542195150	
HG00140.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_Kinnex/HG00140.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_Kinnex	27881714067	
HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_Kinnex/HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_Kinnex	20108739671	
HG00235.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_Kinnex/HG00235.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_Kinnex	18640476839	
HG02717.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_Kinnex/HG02717.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_Kinnex	23590916096	
NA21093.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21093/raw_data/PacBio_Kinnex/NA21093.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21093/raw_data/PacBio_Kinnex	17891890964	
HG03688.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03688/raw_data/PacBio_Kinnex/HG03688.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03688/raw_data/PacBio_Kinnex	21735154974	
NA20346.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA20346/raw_data/PacBio_Kinnex/NA20346.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA20346/raw_data/PacBio_Kinnex	18850340380	
HG03654.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03654/raw_data/PacBio_Kinnex/HG03654.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03654/raw_data/PacBio_Kinnex	22464821357	
HG00272.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_Kinnex/HG00272.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG00272/raw_data/PacBio_Kinnex	18379351494	
NA18970.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18970/raw_data/PacBio_Kinnex/NA18970.lymph.m84203_240819_194908_s1-m84203_240819_214831_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18970/raw_data/PacBio_Kinnex	22699281209	
HG04157.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_Kinnex/HG04157.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_Kinnex	18622783195	
HG02583.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02583/raw_data/PacBio_Kinnex/HG02583.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG02583/raw_data/PacBio_Kinnex	16680070606	
HG03270.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03270/raw_data/PacBio_Kinnex/HG03270.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03270/raw_data/PacBio_Kinnex	17976243788	
HG01150.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_Kinnex/HG01150.lymph.m84081_240721_062628_s1-m84081_240721_042704_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01150/raw_data/PacBio_Kinnex	21588749230	
HG00321.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_Kinnex/HG00321.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00321/raw_data/PacBio_Kinnex	26447251742	
HG00329.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_Kinnex/HG00329.lymph.m84203_240912_223637_s3-m84203_240913_003604_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG00329/raw_data/PacBio_Kinnex	19518391445	
NA21106.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21106/raw_data/PacBio_Kinnex/NA21106.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA21106/raw_data/PacBio_Kinnex	30417757530	
NA21102.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/NA21102/raw_data/PacBio_Kinnex/NA21102.lymph.m84203_241023_010712_s4-m84203_241023_030638_s1.flnc.bam	s3://human-pangenomics/working/HPRC/NA21102/raw_data/PacBio_Kinnex	20825791889	
HG01891.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_Kinnex/HG01891.lymph.m84081_240712_194046_s2-m84081_240717_095021_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_Kinnex	19151328882	
HG02922.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02922/raw_data/PacBio_Kinnex/HG02922.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02922/raw_data/PacBio_Kinnex	28223565875	
HG03874.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03874/raw_data/PacBio_Kinnex/HG03874.lymph.m84081_240727_011703_s4-m84081_240726_231733_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03874/raw_data/PacBio_Kinnex	20491290387	
HG01784.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_Kinnex/HG01784.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01784/raw_data/PacBio_Kinnex	24792654533	
NA19185.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19185/raw_data/PacBio_Kinnex/NA19185.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	s3://human-pangenomics/working/HPRC/NA19185/raw_data/PacBio_Kinnex	19459345769	
NA19700.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19700/raw_data/PacBio_Kinnex/NA19700.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19700/raw_data/PacBio_Kinnex	21018313453	
HG02630.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_Kinnex/HG02630.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_Kinnex	22793728141	
HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_Kinnex/HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_Kinnex	22881085753	
HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_Kinnex/HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_Kinnex	21169919255	
HG01530.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_Kinnex/HG01530.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_Kinnex	21540837393	
HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_Kinnex/HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_Kinnex	20405664179	
HG03195.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_Kinnex/HG03195.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03195/raw_data/PacBio_Kinnex	19534878168	
HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_Kinnex/HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_Kinnex	16878271831	
NA18971.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18971/raw_data/PacBio_Kinnex/NA18971.lymph.m84081_240722_210122_s1-m84081_240722_190156_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA18971/raw_data/PacBio_Kinnex	15384387500	
NA20905.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20905/raw_data/PacBio_Kinnex/NA20905.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20905/raw_data/PacBio_Kinnex	22809571054	
HG03225.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_Kinnex/HG03225.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	s3://human-pangenomics/working/HPRC/HG03225/raw_data/PacBio_Kinnex	27159992796	
HG01346.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_Kinnex/HG01346.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_Kinnex	22668618542	
HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_Kinnex/HG01975.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01975/raw_data/PacBio_Kinnex	24731653512	
NA18608.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18608/raw_data/PacBio_Kinnex/NA18608.lymph.m84081_240724_105227_s4-m84081_240724_085257_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18608/raw_data/PacBio_Kinnex	24037013354	
HG04204.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04204/raw_data/PacBio_Kinnex/HG04204.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04204/raw_data/PacBio_Kinnex	21332209201	
HG00344.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_Kinnex/HG00344.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00344/raw_data/PacBio_Kinnex	17839303060	
HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_Kinnex/HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_Kinnex	26369454321	
HG02809.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_Kinnex/HG02809.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_Kinnex	21295463010	
HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex/HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex	18876275677	
HG01261.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_Kinnex/HG01261.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_Kinnex	18519669125	
NA20806.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20806/raw_data/PacBio_Kinnex/NA20806.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20806/raw_data/PacBio_Kinnex	19977128563	
HG03017.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03017/raw_data/PacBio_Kinnex/HG03017.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG03017/raw_data/PacBio_Kinnex	23321933182	
HG03742.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03742/raw_data/PacBio_Kinnex/HG03742.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG03742/raw_data/PacBio_Kinnex	21132923382	
HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_Kinnex/HG02040.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02040/raw_data/PacBio_Kinnex	34126730682	
HG04228.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04228/raw_data/PacBio_Kinnex/HG04228.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04228/raw_data/PacBio_Kinnex	19486400330	
NA20752.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20752/raw_data/PacBio_Kinnex/NA20752.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA20752/raw_data/PacBio_Kinnex	21721040050	
NA18879.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18879/raw_data/PacBio_Kinnex/NA18879.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam	s3://human-pangenomics/working/HPRC/NA18879/raw_data/PacBio_Kinnex	14889700711	
HG00320.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_Kinnex/HG00320.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG00320/raw_data/PacBio_Kinnex	19892445266	
HG04115.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_Kinnex/HG04115.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam	s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_Kinnex	21599193861	
HG02572.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02572/raw_data/PacBio_Kinnex/HG02572.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	s3://human-pangenomics/working/HPRC/HG02572/raw_data/PacBio_Kinnex	23186308744	
NA19043.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19043/raw_data/PacBio_Kinnex/NA19043.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	s3://human-pangenomics/working/HPRC/NA19043/raw_data/PacBio_Kinnex	19585639523	
HG02735.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02735/raw_data/PacBio_Kinnex/HG02735.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	s3://human-pangenomics/working/HPRC/HG02735/raw_data/PacBio_Kinnex	17739225522	
