Accession	Title	Links	Status	Release Date	Created	Updated	Submission	SRA.filename
SRR31367006	Oxford Nanopore sequecing of HG02572 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T16:28:48Z	SUB14870766	03_14_23_R941_HG02572_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367117	Oxford Nanopore sequecing of HG02257 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T16:28:47Z	SUB14870766	12_7_22_R941_HG02257_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367108	Oxford Nanopore sequecing of HG02148 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T16:28:15Z	SUB14870766	03_14_23_R941_HG02148_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366921	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T16:27:10Z	SUB14870766	HG00438_PAM61591_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367102	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T16:27:09Z	SUB14870766	03_14_23_R941_HG00621_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367179	Oxford Nanopore sequecing of HG00735 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T16:27:09Z	SUB14870766	04_11_23_R941_HG00735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367168	Oxford Nanopore sequecing of HG00735 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T16:27:08Z	SUB14870766	04_11_23_R941_HG00735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367024	Oxford Nanopore sequecing of HG02148 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T15:42:54Z	SUB14870766	HG02148_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367062	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T15:30:55Z	SUB14870766	HG00621_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367112	Oxford Nanopore sequecing of HG02559 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T15:14:15Z	SUB14870766	12_7_22_R941_HG02559_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367031	Oxford Nanopore sequecing of HG02572 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T15:09:52Z	SUB14870766	HG02572_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31366916	Oxford Nanopore sequecing of HG02622 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T15:09:03Z	SUB14870766	03_14_23_R941_HG02622_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367211	Oxford Nanopore sequecing of HG01358 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:04Z	2024-11-16T15:09:02Z	SUB14870766	12_7_22_R941_HG01358_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367118	Oxford Nanopore sequecing of HG01891 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T15:09:02Z	SUB14870766	12_7_22_R941_HG01891_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367103	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T15:09:01Z	SUB14870766	03_14_23_R941_HG00621_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367200	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T15:09:00Z	SUB14870766	12_7_22_R941_HG01361_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367107	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T15:09:00Z	SUB14870766	HG00438_PAK20493_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367087	Oxford Nanopore sequecing of HG01928 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:48:08Z	SUB14870766	HG01928_PAK44599_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366927	Oxford Nanopore sequecing of HG01358 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T14:48:08Z	SUB14870766	12_7_22_R941_HG01358_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367101	Oxford Nanopore sequecing of HG03453 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T14:48:07Z	SUB14870766	03_14_23_R941_HG03453_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367187	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T14:42:15Z	SUB14870766	HG01361_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367116	Oxford Nanopore sequecing of HG02257 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T14:42:14Z	SUB14870766	12_7_22_R941_HG02257_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366923	Oxford Nanopore sequecing of HG01071 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T14:42:14Z	SUB14870766	HG01071_PAK28002_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367071	Oxford Nanopore sequecing of HG03579 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:38:10Z	SUB14870766	HG03579_PAK45831_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367091	Oxford Nanopore sequecing of HG01978 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:38:10Z	SUB14870766	HG01978_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367255	Oxford Nanopore sequecing of HG00673 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:05Z	2024-11-16T14:38:09Z	SUB14870766	1_11_23_R941_HG00673_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367245	Oxford Nanopore sequecing of HG00673 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:05Z	2024-11-16T14:38:09Z	SUB14870766	1_11_23_R941_HG00673_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367073	Oxford Nanopore sequecing of HG03579 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:38:09Z	SUB14870766	HG03579_PAK45398_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367120	Oxford Nanopore sequecing of HG01891 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T14:38:08Z	SUB14870766	12_7_22_R941_HG01891_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367188	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T14:38:08Z	SUB14870766	HG01361_PAM54907_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367084	Oxford Nanopore sequecing of HG01928 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:38:08Z	SUB14870766	HG01928_PAK43967_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367086	Oxford Nanopore sequecing of HG01928 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:38:07Z	SUB14870766	HG01928_PAK44506_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367132	Oxford Nanopore sequecing of HG01123 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:01Z	2024-11-16T14:22:08Z	SUB14870766	12_7_22_R941_HG01123_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367065	Oxford Nanopore sequecing of HG02630 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T14:22:08Z	SUB14870766	04_11_23_R941_HG02630_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367088	Oxford Nanopore sequecing of HG01928 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:16:07Z	SUB14870766	HG01928_PAK45742_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367072	Oxford Nanopore sequecing of HG03579 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:12:13Z	SUB14870766	HG03579_PAK45495_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367144	Oxford Nanopore sequecing of HG01952 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:01Z	2024-11-16T14:12:12Z	SUB14870766	03_14_23_R941_HG01952_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366995	Oxford Nanopore sequecing of HG01978 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T14:12:12Z	SUB14870766	HG01978_PAM59653_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367099	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T14:12:11Z	SUB14870766	HG01361_PAM62496_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367022	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T14:12:11Z	SUB14870766	HG00438_PAM54727_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366920	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T14:12:11Z	SUB14870766	HG00621_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367166	Oxford Nanopore sequecing of HG03516 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T14:12:10Z	SUB14870766	HG03516_PAK15111_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366988	Oxford Nanopore sequecing of HG02486 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:55Z	2024-11-16T14:12:10Z	SUB14870766	HG02486_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367058	Oxford Nanopore sequecing of HG01106 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T14:12:09Z	SUB14870766	1_11_23_R941_HG01106_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367081	Oxford Nanopore sequecing of HG02717 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:12:08Z	SUB14870766	HG02717_PAM32901_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367167	Oxford Nanopore sequecing of HG03516 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T14:12:08Z	SUB14870766	HG03516_PAK11491_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367019	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T14:12:08Z	SUB14870766	12_7_22_R941_HG01361_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367082	Oxford Nanopore sequecing of HG03516 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T14:12:07Z	SUB14870766	HG03516_PAM62473_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367169	Oxford Nanopore sequecing of HG03516 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T14:03:09Z	SUB14870766	HG03516_PAK11017_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366985	Oxford Nanopore sequecing of HG01952 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:55Z	2024-11-16T14:03:09Z	SUB14870766	HG01952_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366946	Oxford Nanopore sequecing of HG01175 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:54Z	2024-11-16T14:03:08Z	SUB14870766	1_11_23_R941_HG01175_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366917	Oxford Nanopore sequecing of HG01106 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T14:03:08Z	SUB14870766	HG01106_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367229	Oxford Nanopore sequecing of HG02886 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:04Z	2024-11-16T14:03:07Z	SUB14870766	1_11_23_R941_HG02886_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366910	Oxford Nanopore sequecing of HG01175 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:52Z	2024-11-16T13:45:07Z	SUB14870766	HG01175_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367039	Oxford Nanopore sequecing of HG01123 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T13:38:12Z	SUB14870766	12_7_22_R941_HG01123_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367127	Oxford Nanopore sequecing of HG01928 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:01Z	2024-11-16T13:38:12Z	SUB14870766	HG01928_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31366911	Oxford Nanopore sequecing of HG01175 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T13:38:12Z	SUB14870766	HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367104	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T13:36:11Z	SUB14870766	HG00438_PAM53001_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367189	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T13:36:10Z	SUB14870766	HG01361_PAM54634_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366938	Oxford Nanopore sequecing of HG01258 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:54Z	2024-11-16T13:36:10Z	SUB14870766	12_7_22_R941_HG01258_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367186	Oxford Nanopore sequecing of HG01361 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T13:36:09Z	SUB14870766	HG01361_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366951	Oxford Nanopore sequecing of HG01106 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:54Z	2024-11-16T13:36:09Z	SUB14870766	1_11_23_R941_HG01106_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367160	Oxford Nanopore sequecing of HG00741 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:02Z	2024-11-16T13:36:09Z	SUB14870766	1_11_23_R941_HG00741_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367194	Oxford Nanopore sequecing of HG01071 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T13:36:08Z	SUB14870766	HG01071_PAM54677_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367079	Oxford Nanopore sequecing of HG02886 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T13:36:08Z	SUB14870766	HG02886_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366991	Oxford Nanopore sequecing of HG03471 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T13:36:07Z	SUB14870766	03_14_23_R941_HG03471_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366919	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T13:31:09Z	SUB14870766	HG00621_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367192	Oxford Nanopore sequecing of HG01071 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T13:31:08Z	SUB14870766	HG01071_PAM55678_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366972	Oxford Nanopore sequecing of HG01952 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:55Z	2024-11-16T13:31:08Z	SUB14870766	03_14_23_R941_HG01952_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367070	Oxford Nanopore sequecing of HG03579 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T13:31:08Z	SUB14870766	HG03579_PAK45849_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366961	Oxford Nanopore sequecing of HG01175 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:54Z	2024-11-16T13:31:07Z	SUB14870766	1_11_23_R941_HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367068	Oxford Nanopore sequecing of HG00621 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T13:26:08Z	SUB14870766	03_14_23_R941_HG00621_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367052	Oxford Nanopore sequecing of HG00741 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:58Z	2024-11-16T13:26:07Z	SUB14870766	1_11_23_R941_HG00741_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366997	Oxford Nanopore sequecing of HG01978 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T13:26:07Z	SUB14870766	HG01978_PAM62481_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367180	Oxford Nanopore sequecing of HG02886 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:03Z	2024-11-16T13:21:21Z	SUB14870766	HG02886_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367254	Oxford Nanopore sequecing of HG00741 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:05Z	2024-11-16T13:21:20Z	SUB14870766	1_11_23_R941_HG00741_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367017	Oxford Nanopore sequecing of HG02572 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T13:21:19Z	SUB14870766	03_14_23_R941_HG02572_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367080	Oxford Nanopore sequecing of HG02886 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T13:21:19Z	SUB14870766	HG02886_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367143	Oxford Nanopore sequecing of HG02886 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:01Z	2024-11-16T13:21:18Z	SUB14870766	1_11_23_R941_HG02886_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366992	Oxford Nanopore sequecing of HG01978 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:56Z	2024-11-16T13:21:18Z	SUB14870766	HG01978_PAK27968_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31366918	Oxford Nanopore sequecing of HG01106 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:53Z	2024-11-16T13:21:18Z	SUB14870766	HG01106_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367209	Oxford Nanopore sequecing of HG03516 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:04Z	2024-11-16T13:21:17Z	SUB14870766	HG03516_PAM62473_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam
SRR31367096	Oxford Nanopore sequecing of HG01891 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:59Z	2024-11-16T13:21:17Z	SUB14870766	HG01891_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367023	Oxford Nanopore sequecing of HG00438 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:12:57Z	2024-11-16T13:21:17Z	SUB14870766	HG00438_PAM54620_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
SRR31367114	Oxford Nanopore sequecing of HG02486 called with mods.	BioProject: 1, BioSample: 1	Released	2024-11-16	2024-11-16T12:13:00Z	2024-11-16T13:21:16Z	SUB14870766	12_7_22_R941_HG02486_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam
