filename	filetype	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	md5sum	file_size	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes
HG00323.m64043_220728_173215.dc.q20.fastq.gz	fastq	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00323.m64136_220708_205611.dc.q20.fastq.gz	fastq	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00323.m64136_220710_175208.dc.q20.fastq.gz	fastq	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00323.m64136_220712_144943.dc.q20.fastq.gz	fastq	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00408.m64136_211111_194404.dc.q20.fastq.gz	fastq	HG00408	HG00408_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00408.m64136_211113_063830.dc.q20.fastq.gz	fastq	HG00408	HG00408_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00408.m64136_211114_164241.dc.q20.fastq.gz	fastq	HG00408	HG00408_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00558.m54329U_220107_233847.dc.q20.fastq.gz	fastq	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00558.m54329U_220114_143904.dc.q20.fastq.gz	fastq	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00558.m54329U_220116_013607.dc.q20.fastq.gz	fastq	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00558.m64076_220216_013707.dc.q20.fastq.gz	fastq	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00597.m64043_211210_180342.dc.q20.fastq.gz	fastq	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00597.m64043_211212_045901.dc.q20.fastq.gz	fastq	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00597.m64043_211213_155654.dc.q20.fastq.gz	fastq	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00597.m64043_211222_184851.dc.q20.fastq.gz	fastq	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00639.m54329U_211222_104516.dc.q20.fastq.gz	fastq	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00639.m54329U_211230_014258.dc.q20.fastq.gz	fastq	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00639.m54329U_211231_123903.dc.q20.fastq.gz	fastq	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG00639.m64076_220216_013707.dc.q20.fastq.gz	fastq	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01074.m54329U_211110_112322.dc.q20.fastq.gz	fastq	HG01074	HG01074_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01074.m54329U_211208_005551.dc.q20.fastq.gz	fastq	HG01074	HG01074.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01074.m54329U_211211_014820.dc.q20.fastq.gz	fastq	HG01074	HG01074.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01074.m54329U_211212_111219.dc.q20.fastq.gz	fastq	HG01074	HG01074.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01081.m54329U_211223_214216.dc.q20.fastq.gz	fastq	HG01081	HG01081.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01081.m54329U_220101_220852.dc.q20.fastq.gz	fastq	HG01081	HG01081.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01081.m54329U_220103_072943.dc.q20.fastq.gz	fastq	HG01081	HG01081.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01192.m64043_211124_192057.dc.q20.fastq.gz	fastq	HG01192	HG01192_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01192.m64043_211126_061537.dc.q20.fastq.gz	fastq	HG01192	HG01192_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01192.m64043_211127_171224.dc.q20.fastq.gz	fastq	HG01192	HG01192_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01261.m64043_211222_184851.dc.q20.fastq.gz	fastq	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01261.m64136_211105_181124.dc.q20.fastq.gz	fastq	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01261.m64136_211107_050725.dc.q20.fastq.gz	fastq	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01261.m64136_211108_160613.dc.q20.fastq.gz	fastq	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01975.m64043_211113_003158.dc.q20.fastq.gz	fastq	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01975.m64043_211114_112934.dc.q20.fastq.gz	fastq	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01975.m64043_211115_222749.dc.q20.fastq.gz	fastq	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG01975.m64043_211222_184851.dc.q20.fastq.gz	fastq	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02015.m64043_210901_164337.dc.q20.fastq.gz	fastq	HG02015	HG02015_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02015.m64043_210903_163032.dc.q20.fastq.gz	fastq	HG02015	HG02015_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02015.m64043_210905_032603.dc.q20.fastq.gz	fastq	HG02015	HG02015_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02040.m64076_220908_204946.dc.q20.fastq.gz	fastq	HG02040	HG02040.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02040.m64076_220910_174812.dc.q20.fastq.gz	fastq	HG02040	HG02040.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02040.m64076_220912_140850.dc.q20.fastq.gz	fastq	HG02040	HG02040.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02056.m64043_220114_181052.dc.q20.fastq.gz	fastq	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02056.m64136_211118_185339.dc.q20.fastq.gz	fastq	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02056.m64136_211120_043838.dc.q20.fastq.gz	fastq	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02056.m64136_211121_153454.dc.q20.fastq.gz	fastq	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	
HG02129.m64136_220422_181133.dc.q20.fastq.gz	fastq	HG02129	HG02129_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02129.m64136_220424_050632.dc.q20.fastq.gz	fastq	HG02129	HG02129_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02129.m64136_220426_155627.dc.q20.fastq.gz	fastq	HG02129	HG02129_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02155.m64043_220728_173215.dc.q20.fastq.gz	fastq	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02155.m64136_220701_181202.dc.q20.fastq.gz	fastq	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02155.m64136_220703_150713.dc.q20.fastq.gz	fastq	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02155.m64136_220705_120453.dc.q20.fastq.gz	fastq	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02165.m64076_220902_143723.dc.q20.fastq.gz	fastq	HG02165	PG02165.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02165.m64076_220904_113359.dc.q20.fastq.gz	fastq	HG02165	PG02165.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02165.m64076_220906_083112.dc.q20.fastq.gz	fastq	HG02165	PG02165.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02258.m64043_211217_180919.dc.q20.fastq.gz	fastq	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02258.m64043_211219_050421.dc.q20.fastq.gz	fastq	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02258.m64043_211220_160211.dc.q20.fastq.gz	fastq	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02258.m64043_220114_181052.dc.q20.fastq.gz	fastq	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02273.m64043_220429_171542.dc.q20.fastq.gz	fastq	HG02273	HG02273_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02273.m64043_220501_041051.dc.q20.fastq.gz	fastq	HG02273	HG02273_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02273.m64043_220503_153752.dc.q20.fastq.gz	fastq	HG02273	HG02273_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02451.m64076_211109_232223.dc.q20.fastq.gz	fastq	HG02451	HG02451_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02451.m64076_211208_005550.dc.q20.fastq.gz	fastq	HG02451	HG02451.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
HG02451.m64076_211211_014755.dc.q20.fastq.gz	fastq	HG02451	HG02451.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus			unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	
