	filename	sample_ID	path	read_N50	Gb	coverage	100kb+	200kb+	300kb+	400kb+	500kb+	1Mb+	whales	sample	ntsm_score	result	filetype	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	seq_kit	basecaller	basecaller_version	basecaller_model	generator_facility	generator_contact
10	02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03239	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	80855	78.16	23.69	9.26	1.98	0.39	0.11	0.05	0.0	6	HG03239	0.328338	Similar		02_15_22_R941_HG03239_2																
11	02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03239	s3://human-pangenomics/working/HPRC/HG03239/raw_data/nanopore/guppy_6/02_15_22_R941_HG03239_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	80856	58.69	17.79	6.93	1.42	0.27	0.08	0.03	0.0	7	HG03239	0.36187	Similar		02_15_22_R941_HG03239_3																
12	03_01_22_R941_HG03017_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03017	s3://human-pangenomics/working/HPRC/HG03017/raw_data/nanopore/guppy_6/03_01_22_R941_HG03017_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	86206	80.42	24.37	10.45	2.74	0.52	0.09	0.02	0.0	0	HG03017	0.338232	Similar	bam	03_01_22_R941_HG03017_1	WGS	GENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	UL sequencing using ONT-Circulomics method	unaligned reads with 5mC mods	no shear	no SS	SQK-ULK001	guppy	6.5.7	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	University of California, Santa Cruz	iviolich@ucsc.edu
13	03_01_22_R941_HG03017_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03017	s3://human-pangenomics/working/HPRC/HG03017/raw_data/nanopore/guppy_6/03_01_22_R941_HG03017_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	89100	99.17	30.05	13.36	3.68	0.74	0.12	0.03	0.0	0	HG03017	0.350232	Similar		03_01_22_R941_HG03017_2																
14	03_01_22_R941_HG03017_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03017	s3://human-pangenomics/working/HPRC/HG03017/raw_data/nanopore/guppy_6/03_01_22_R941_HG03017_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	88874	76.92	23.31	10.33	2.81	0.54	0.09	0.02	0.0	0	HG03017	0.310042	Similar		03_01_22_R941_HG03017_3																
15	04_12_22_R941_HG03195_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03195	s3://human-pangenomics/working/HPRC/HG03195/raw_data/nanopore/guppy_6/04_12_22_R941_HG03195_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	82523	24.23	7.34	2.92	0.57	0.11	0.03	0.02	0.0	3	HG03195	0.435326	Similar		04_12_22_R941_HG03195_1																
16	04_12_22_R941_HG03195_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03195	s3://human-pangenomics/working/HPRC/HG03195/raw_data/nanopore/guppy_6/04_12_22_R941_HG03195_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	79825	32.42	9.83	3.75	0.72	0.15	0.05	0.02	0.0	4	HG03195	0.39897	Similar		04_12_22_R941_HG03195_2																
17	04_12_22_R941_HG03195_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03195	s3://human-pangenomics/working/HPRC/HG03195/raw_data/nanopore/guppy_6/04_12_22_R941_HG03195_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	79740	66.57	20.17	7.67	1.47	0.3	0.09	0.04	0.01	15	HG03195	0.379395	Similar		04_12_22_R941_HG03195_3																
18	04_12_22_R941_HG03195_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03195	s3://human-pangenomics/working/HPRC/HG03195/raw_data/nanopore/guppy_6/04_12_22_R941_HG03195_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	76326	33.71	10.21	3.74	0.81	0.22	0.1	0.06	0.01	24	HG03195	0.399203	Similar		04_12_22_R941_HG03195_4																
19	04_12_22_R941_HG03225_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03225	s3://human-pangenomics/working/HPRC/HG03225/raw_data/nanopore/guppy_6/04_12_22_R941_HG03225_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	113230	72.99	22.12	12.28	5.0	1.73	0.54	0.17	0.0	4	HG03225	0.321181	Similar		04_12_22_R941_HG03225_1																
20	04_12_22_R941_HG03225_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03225	s3://human-pangenomics/working/HPRC/HG03225/raw_data/nanopore/guppy_6/04_12_22_R941_HG03225_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	111305	78.71	23.85	13.06	5.3	1.82	0.57	0.18	0.0	4	HG03225	0.341689	Similar		04_12_22_R941_HG03225_2																
21	04_12_22_R941_HG03225_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03225	s3://human-pangenomics/working/HPRC/HG03225/raw_data/nanopore/guppy_6/04_12_22_R941_HG03225_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	107783	62.97	19.08	10.17	4.07	1.39	0.44	0.14	0.0	7	HG03225	0.385432	Similar		04_12_22_R941_HG03225_3																
22	05_17_22_R941_HG03130_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03130	s3://human-pangenomics/working/HPRC/HG03130/raw_data/nanopore/guppy_6/05_17_22_R941_HG03130_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	78539	64.75	19.62	7.17	1.05	0.1	0.02	0.01	0.0	0	HG03130	0.338227	Similar		05_17_22_R941_HG03130_1																
23	05_17_22_R941_HG03130_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03130	s3://human-pangenomics/working/HPRC/HG03130/raw_data/nanopore/guppy_6/05_17_22_R941_HG03130_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	77435	53.19	16.12	5.75	0.82	0.08	0.01	0.0	0.0	2	HG03130	0.336958	Similar		05_17_22_R941_HG03130_2																
24	05_17_22_R941_HG03130_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03130	s3://human-pangenomics/working/HPRC/HG03130/raw_data/nanopore/guppy_6/05_17_22_R941_HG03130_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	77603	76.3	23.12	8.37	1.25	0.12	0.02	0.01	0.0	0	HG03130	0.332566	Similar		05_17_22_R941_HG03130_3																
25	05_17_22_R941_HG03139_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03139	s3://human-pangenomics/working/HPRC/HG03139/raw_data/nanopore/guppy_6/05_17_22_R941_HG03139_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	87401	61.42	18.61	7.98	1.75	0.35	0.1	0.04	0.0	5	HG03139	0.361164	Similar		05_17_22_R941_HG03139_1																
26	05_17_22_R941_HG03139_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03139	s3://human-pangenomics/working/HPRC/HG03139/raw_data/nanopore/guppy_6/05_17_22_R941_HG03139_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	88064	67.58	20.48	8.82	1.84	0.35	0.1	0.04	0.0	12	HG03139	0.30899	Similar		05_17_22_R941_HG03139_2																
27	05_17_22_R941_HG03139_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03139	s3://human-pangenomics/working/HPRC/HG03139/raw_data/nanopore/guppy_6/05_17_22_R941_HG03139_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	87921	61.26	18.56	8.0	1.72	0.33	0.09	0.04	0.0	8	HG03139	0.356189	Similar		05_17_22_R941_HG03139_3																
28	05_17_22_R941_HG03209_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03209	s3://human-pangenomics/working/HPRC/HG03209/raw_data/nanopore/guppy_6/05_17_22_R941_HG03209_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	89912	101.17	30.66	13.56	3.08	0.49	0.07	0.01	0.0	0	HG03209	0.338017	Similar		05_17_22_R941_HG03209_1																
29	05_17_22_R941_HG03209_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03209	s3://human-pangenomics/working/HPRC/HG03209/raw_data/nanopore/guppy_6/05_17_22_R941_HG03209_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	76033	40.63	12.31	4.38	0.83	0.12	0.01	0.0	0.0	0	HG03209	0.339003	Similar		05_17_22_R941_HG03209_2																
30	05_17_22_R941_HG03209_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03209	s3://human-pangenomics/working/HPRC/HG03209/raw_data/nanopore/guppy_6/05_17_22_R941_HG03209_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	86569	92.31	27.97	11.85	2.66	0.44	0.06	0.01	0.0	1	HG03209	0.312373	Similar		05_17_22_R941_HG03209_3																
31	05_24_22_R941_HG03458_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03458	s3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	83325	66.67	20.2	8.33	2.18	0.44	0.08	0.01	0.0	0	HG03458	0.328283	Similar		05_24_22_R941_HG03458_1																
32	05_24_22_R941_HG03458_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03458	s3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	82416	79.84	24.19	9.9	2.67	0.58	0.11	0.02	0.0	0	HG03458	0.363894	Similar		05_24_22_R941_HG03458_2																
33	05_24_22_R941_HG03458_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03458	s3://human-pangenomics/working/HPRC/HG03458/raw_data/nanopore/guppy_6/05_24_22_R941_HG03458_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	81018	78.8	23.88	9.59	2.57	0.56	0.11	0.02	0.0	0	HG03458	0.393812	Similar		05_24_22_R941_HG03458_3																
34	05_24_22_R941_HG03470_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03470	s3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	92406	79.99	24.24	11.2	3.29	0.76	0.18	0.06	0.0	4	HG03470	0.364659	Similar		05_24_22_R941_HG03470_1																
35	05_24_22_R941_HG03470_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03470	s3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	90420	66.47	20.14	9.12	2.73	0.67	0.16	0.05	0.0	8	HG03470	0.334592	Similar		05_24_22_R941_HG03470_2																
36	05_24_22_R941_HG03470_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03470	s3://human-pangenomics/working/HPRC/HG03470/raw_data/nanopore/guppy_6/05_24_22_R941_HG03470_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	91609	74.44	22.56	10.33	3.08	0.74	0.18	0.06	0.0	5	HG03470	0.330391	Similar		05_24_22_R941_HG03470_3																
37	08_10_22_R941_HG03792_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03792	s3://human-pangenomics/working/HPRC/HG03792/raw_data/nanopore/guppy_6/08_10_22_R941_HG03792_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	59519	85.57	25.93	6.56	1.02	0.14	0.02	0.01	0.0	1	HG03792	0.322213	Similar		08_10_22_R941_HG03792_1																
38	08_10_22_R941_HG03792_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03792	s3://human-pangenomics/working/HPRC/HG03792/raw_data/nanopore/guppy_6/08_10_22_R941_HG03792_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	53139	70.26	21.29	4.49	0.63	0.09	0.02	0.0	0.0	0	HG03792	0.349105	Similar		08_10_22_R941_HG03792_2																
39	08_10_22_R941_HG03792_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03792	s3://human-pangenomics/working/HPRC/HG03792/raw_data/nanopore/guppy_6/08_10_22_R941_HG03792_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	58516	85.23	25.83	6.43	1.04	0.15	0.02	0.01	0.0	0	HG03792	0.358335	Similar		08_10_22_R941_HG03792_3																
40	09_27_2022_R941_HG03742_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03742	s3://human-pangenomics/working/HPRC/HG03742/raw_data/nanopore/guppy_6/09_27_2022_R941_HG03742_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	81011	66.81	20.24	8.14	2.19	0.48	0.11	0.03	0.0	7	HG03742	0.377766	Similar		09_27_2022_R941_HG03742_1																
41	09_27_2022_R941_HG03742_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03742	s3://human-pangenomics/working/HPRC/HG03742/raw_data/nanopore/guppy_6/09_27_2022_R941_HG03742_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	71143	67.34	20.4	7.02	1.69	0.34	0.07	0.02	0.0	3	HG03742	0.367302	Similar		09_27_2022_R941_HG03742_2																
42	09_27_2022_R941_HG03742_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	HG03742	s3://human-pangenomics/working/HPRC/HG03742/raw_data/nanopore/guppy_6/09_27_2022_R941_HG03742_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	76240	63.51	19.25	7.22	1.86	0.4	0.1	0.03	0.0	8	HG03742	0.368966	Similar		09_27_2022_R941_HG03742_3																
