	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
10	m54329U_210507_224951-bc1010_BAK8A_OA.hifi_reads.bam	HG02074	HG02074a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5027941	97503544990	97.5	94.25	50413.25	16439.0	18391.25	21167.75	67431	76298	88409
11	m54329U_210507_224951-bc1011_BAK8A_OA.hifi_reads.bam	HG02071	HG02071a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5270953	100114034027	100.12	256.25	51732.25	16381.0	18634.25	21630.25	67695	77809	90610
12	m54329U_210507_224951-bc1017_BAK8B_OA.hifi_reads.bam	HG03942	HG03942a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5734437	107579588694	107.58	96.6	52686.0	16126.6	18300.8	21171.0	83231	95345	110619
13	m54329U_210522_083046.hifi_reads.bam	HG03927	HG03927a.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 17kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		7297013	114153128902	114.15	85.5	50539.75	12984.5	15087.5	17805.75	54471	63764	75499
14	m54329U_210524_174516.hifi_reads.bam	HG00642	HG00642.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6464738	127764927422	127.75999999999999	82.75	53740.25	16436.75	19046.5	22343.75	68652	80205	94181
15	m54329U_210604_200442.hifi_reads.bam	HG02647	HG02647.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		7228959	123218319538	123.22	218.0	51670.75	13905.5	16549.0	19707.75	59315	70599	83823
16	m54329U_210608_221930.hifi_reads.bam	HG03688	HG03688.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6381251	112410718174	112.41	315.75	50022.0	15243.25	16979.5	19408.5	62372	70201	80626
17	m54329U_210614_155303.hifi_reads.bam	HG04199	HG04199.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5309016	99041684653	99.03	466.25	59740.75	14869.75	17838.25	21505.0	63747	76792	92582
18	m54329U_210624_221223.hifi_reads.bam	HG01346	HG01346.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6808126	127013100444	127.01999999999998	85.5	54939.5	15900.5	18135.5	20711.0	65544	75248	86174
19	m54329U_210627_170630.hifi_reads.bam	HG02132	HG02132.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 26kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6162111	122478474934	122.48	85.75	56754.75	16886.0	19023.75	22016.0	69329	79580	91799
20	m54329U_210702_182525.hifi_reads.bam	HG02300	HG02300.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5272624	93221719014	93.22	193.33333333333334	53195.333333333336	14646.666666666666	16956.0	20029.666666666668	45898	53731	63768
21	m54329U_210707_171722.hifi_reads.bam	HG02683	HG02683.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5406261	100957262954	100.95	85.66666666666667	54530.333333333336	15757.0	17932.666666666668	20951.333333333332	48907	56349	66235
22	m54329U_210713_205453.hifi_reads.bam	HG01884	HG01884.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5778076	104752367203	104.75	465.6666666666667	56150.666666666664	15381.666666666666	17374.666666666668	20191.0	47535	54398	63626
23	m54329U_210719_222842.hifi_reads.bam	HG02293	HG02293.HFSS	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5075161	96623199276	96.63	178.33333333333334	56800.333333333336	16142.666666666666	18223.333333333332	21186.666666666668	49859	57055	66829
24	m54329U_211105_213234-bc1001.5mc.hifi_reads.bam	HG03704	HG03704_SRE.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 26kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5239552	105901611732	105.9	246.16666666666666	61261.833333333336	16546.5	19115.833333333332	22637.333333333332	103499	121261	144510
25	m54329U_211109_002533-bc1002.5mc.hifi_reads.bam	HG02735	HG02735_SRE.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5760726	112782740706	112.78	71.75	59024.75	16348.75	18693.5	21946.75	67809	78564	92837
26	m54329U_211110_112322-bc1008.5mc.hifi_reads.bam	HG01074	HG01074_SRE.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		6476627	125207700815	125.2	147.5	58717.0	16251.5	18693.75	22083.0	67612	78887	93806
27	m54329U_211214_012740-bc1009.5mc.hifi_reads.bam	HG03041	HG03041.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5805405	112430961538	112.42999999999999	119.0	56408.0	15881.666666666666	18525.0	22048.666666666668	49978	59013	70496
28	m54329U_211222_104516-bc1010.5mc.hifi_reads.bam	HG00639	HG00639.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5317257	106165346148	106.17	79.75	58704.75	15877.0	19095.0	23229.5	68293	82790	100746
29	m54329U_211223_214216-bc1011.5mc.hifi_reads.bam	HG01081	HG01081.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5530935	108121409003	108.13	65.0	65453.0	15216.666666666666	18745.333333333332	23097.666666666668	50035	61770	75654
30	m54329U_211225_070909-bc1012.5mc.hifi_reads.bam	HG03017	HG03017.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5895763	117668008222	117.67	141.2	62743.8	15862.8	19179.4	23371.8	85463	104105	126598
31	m54329U_220105_011819-bc1015.5mc.hifi_reads.bam	HG03239	HG03239.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5366948	108064496942	108.06	91.33333333333333	62667.333333333336	16369.0	19293.0	23114.333333333332	51889	61826	74138
32	m54329U_220107_233847-bc1016.5mc.hifi_reads.bam	HG00558	HG00558.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.2.0	P2.2	C2	University of Washington	kmiyamot@uw.edu		5005116	105366162533	105.36	60.75	61344.25	16596.0	20001.0	24366.25	71289	86644	105573
33	m54329U_220519_225150-bc2019.5mc.hifi_reads.bam	HG03139	HG03139.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		5972642	128149362164	128.14	86.0	68196.0	17485.0	20584.666666666668	24571.0	55337	65769	78525
34	m54329U_220604_002013-bc2021.5mc.hifi_reads.bam	NA18522	NA18522.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		6420669	130590312599	130.59	82.33333333333333	62944.666666666664	16891.0	19536.333333333332	23073.0	52859	61834	73257
35	m54329U_220816_182601-bc2045.5mc.hifi_reads.bam	HG02922	PG02922.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		7220572	155275167369	155.29	587.8571428571429	57263.28571428572	16881.571428571428	20456.428571428572	24515.428571428572	129114	154311	183925
36	m54329U_220823_191353-bc2011.5mc.hifi_reads.bam	NA18747	PG18747_1.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		5783075	119232513460	119.24	98.75	72069.5	17627.75	20036.0	23197.75	72858	83559	96895
37	m54329U_220825_174247-bc2012.5mc.hifi_reads.bam	HG00099	PG00099_1.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		7095560	143968605366	143.97	92.33333333333333	59450.0	17446.0	19612.0	22598.333333333332	53814	61115	70719
38	m54329U_220901_221341-bc2051.5mc.hifi_reads.bam	HG00280	PG00280.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		6372919	128423222220	128.42000000000002	86.33333333333333	58109.666666666664	17183.666666666668	19419.0	22482.0	53084	60655	70500
39	m54329U_220903_190900-bc2055.5mc.hifi_reads.bam	NA18983	PG18983.HFSS2	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		6075510	128219197027	128.20999999999998	772.3333333333334	51095.166666666664	14620.5	18309.666666666668	22049.166666666668	100294	119999	142117
40	m54329U_220916_162216-bc2061.5mc.hifi_reads.bam	NA19043	PG19043.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	unaligned reads	Megaruptor 3	PippinHT	6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu		6110158	128958367287	128.96	80.66666666666667	68878.66666666667	17681.666666666668	20325.666666666668	23846.666666666668	55205	64123	75484
41	m64043_200403_163826.ccs.bam	HG02717	HG02717_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		8190461	140299179505	140.29000000000002	46.5	48929.0	14888.75	16268.75	18537.75	60657	67011	78315
42	m64043_200410_214826.ccs.bam	HG02886	HG02886_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		7667715	137406820574	137.4	46.25	49259.0	15824.25	17207.75	19296.0	64349	70536	80365
43	m64043_200501_162248.ccs.bam	HG02630	HG02630_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		7849138	151012127449	151.01	45.5	49320.0	16982.75	18712.5	20973.5	69413	76809	86747
44	m64043_200508_172634.ccs.bam	HG03453	HG03453_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		7959186	160254984026	160.26	45.75	49391.5	17771.5	19391.5	21806.0	72327	79536	90530
45	m64043_200515_165406.ccs.bam	HG03579	HG03579_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		7673270	149989778691	150.0	46.75	49384.5	17196.75	18895.75	21219.75	70242	77633	88163
46	m64043_200521_171703.ccs.bam	HG03540	HG03540_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		7383539	153408365956	153.41	46.0	49934.0	18344.0	20022.75	22480.0	74638	82114	93206
47	m64043_200530_164723.ccs.bam	HG02622	HG02622_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		6230485	143991835153	143.99	45.75	49972.75	20468.0	22330.75	25038.75	83264	91525	103580
48	m64043_200606_175618.ccs.bam	HG03471	HG03471_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		8140699	157173350972	157.18	45.5	49610.5	16840.25	18617.75	21239.5	68877	76852	88588
49	m64043_200612_200936.ccs.bam	HG01928	HG01928_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		4626072	108901985193	108.9	47.25	50064.75	20840.25	23015.75	25761.5	85188	94430	106140
50	m64043_200618_201934.ccs.bam	HG01175	HG01175_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		5153776	111939663752	111.94	45.25	49763.0	19222.5	21073.25	23577.25	78418	86387	97515
51	m64043_200625_174853.ccs.bam	HG01106	HG01106_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		6506175	145118907712	145.12	46.75	49322.0	20091.0	21753.0	24033.5	81495	88661	98525
52	m64043_200702_173033.ccs.bam	HG00735	HG00735_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		6012929	133495423166	133.5	46.25	49725.75	19599.5	21743.25	24316.75	80358	89294	100282
53	m64043_200710_174426.ccs.bam	HG00438	HG00438_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		5562963	127470405240	127.47	45.75	50246.5	19482.25	21685.5	25344.5	79904	90436	107559
54	m64043_200716_182902.ccs.bam	HG00673	HG00673_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	8.0.0.80529			Washington University	tgraves@wustl.edu		5901420	122489377921	122.49000000000001	46.0	49871.25	17908.5	20211.75	23169.75	73619	83896	95899
55	m64043_210205_190424.hifi_reads.bam	HG00423	HG00423_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	9.0.0.92188	P2	C2	Washington University	tgraves@wustl.edu		7842999	144453143906	144.46	79.75	55449.75	16349.0	18183.75	20091.25	67071	74422	82297
56	m64043_210506_183430.hifi_reads.bam	HG02523	HG02523_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4673867	97895577779	97.9	447.3333333333333	58661.0	17602.0	19320.333333333332	23070.0	53973	60431	74884
57	m64043_210514_184131.hifi_reads.bam	HG03710	HG03710_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4919405	101554674121	101.55000000000001	247.66666666666666	61070.666666666664	17310.333333333332	19165.0	22971.666666666668	53163	60510	73372
58	m64043_210519_013026.hifi_reads.bam	HG02698	HG02698_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4875554	97463860824	97.46000000000001	267.6666666666667	56326.666666666664	17146.666666666668	18901.666666666668	22303.333333333332	52477	58943	70084
59	m64043_210520_180149.hifi_reads.bam	HG01255	HG01255_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4887072	100801538682	100.80000000000001	375.3333333333333	58980.0	17203.666666666668	19612.0	22988.0	53111	62024	72780
60	m64043_210522_023949.hifi_reads.bam	HG03654	HG03654_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		6026131	114052805650	114.05000000000001	308.5	57639.75	16209.25	17948.5	21119.0	66134	75226	87862
61	m64043_210530_003337.hifi_reads.bam	HG00738	HG00738_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4849181	105598558291	105.59	298.75	61361.25	18604.5	20355.75	23850.25	75883	84256	101876
62	m64043_210604_175624.hifi_reads.bam	HG03669	HG03669_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		5730646	113340718683	113.34	400.25	55253.5	17368.25	19730.0	21782.25	72334	80814	89248
63	m64043_210612_053030.hifi_reads.bam	HG02602	HG02602_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		4885820	100883608683	100.89	329.0	59615.5	17768.5	19197.75	22373.0	72159	79083	95665
64	m64043_210620_041711.hifi_reads.bam	HG01993	HG01993_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1	SageELF	10.1.0.115913	P2	C2	Washington University	tgraves@wustl.edu		5106510	105652792614	105.66	117.66666666666667	56029.0	18612.666666666668	20236.0	22328.666666666668	56699	61883	68562
