accession	study	bioproject_accession	biosample_accession	library_id	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	shear_method	size_selection	basecaller	basecaller_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	__index__filename	total_reads	total_bp	total_gbp	min	max	mean	quartile_25	quartile_50	quartile_75	n25	n50	n75	sample_id	path	production	data_type	notes	coverage	ntsm_score	index_sheet	assembly	deepconsensus_coverage	deepconsensus_filename	deepconsensus_path	ccs_algorithm	mm_tag	primrose_filename	mm_review	mm_remove	lima_version	lima_float_version	cell_type	iso_filename	platform_unit_1	platform_unit_2	barcode	iso_library_id	pbtrim_version	jasmine_version	refine_version	pool	similarity	check-flnc reads	seq_kit	basecaller_model	coverage_over_100kb	coverage_over_200kb	coverage_over_300kb	coverage_over_400kb	coverage_over_500kb	coverage_over_1mb	whales	sequencing_chemistry	library_construction_protocol	read_length	family_id	paternal_id	maternal_id	gender	phenotype	relationship	siblings	second_order	third_order	other_comments	phasing	in_working	manifest_aws_file_size	manifest_download_size	manifest_checksum	manifest_s3_source	manifest_gs_path	slurm_job_id	slurm_task_id	sample_ID	collection
SRR29405772																						m84091_230724_163116_s3.hifi_reads.bc1002.bam																																																																											NA19377	RU_Y4_data_table__final.csv
SRR29483263																						m84046_230727_225904_s1.hifi_reads.bc2095.bam																																																																											HG03778	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
																						HG00662-2_FC1_S22_L002_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949633																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA21144/raw_data/hic/NA21144-2_FC2_S46_L002_R2_001.fastq.gz																																																																											NA21144	HIC_Y3_Y4_part2_data_table__final.csv
SRR26304607																						07_20_21_R941_HG02668_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
																						HG04153-1_FC4_S14_L001_R1_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
																						HG03672-2_FC2_S12_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949509																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG04153/raw_data/hic/HG04153-2_FC4_S22_L001_R1_001.fastq.gz																																																																											HG04153	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367043																						HG02257_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02257	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
																						HG04225-2_FC2_S24_L002_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR33469095																						12_02_24_R1041_UL_HPRC_HG03654_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG03654	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31367047																						HG01071_PAM55678_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01071	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
																						HG03672-2_FC1_S12_L001_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR33469130																						11_18_24_R1041_UL_HPRC_HG04160_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG04160	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR34949443																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03521/raw_data/hic/HG03521-2_FC3_S26_L002_R1_001.fastq.gz																																																																											HG03521	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949643																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00272/raw_data/hic/HG00272-1_FC2_S3_L001_R1_001.fastq.gz																																																																											HG00272	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949529																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03458/raw_data/hic/HG03458-1_FC1_S52_L003_R1_001.fastq.gz																																																																											HG03458	HIC_Y3_Y4_part2_data_table__final.csv
SRR31366936																						HG02717_PAK46278_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02717	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR26313851																						08_10_21_R941_HG01433_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR26313844																						12_08_21_R941_HG02027_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34949595																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-2_FC1_S36_L002_R1_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR26304607																						07_20_21_R941_HG02668_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34899831																						NA19190-1_FC1_S9_L001_R1_001.fastq.gz																																																																											NA19190	HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949601																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02523/raw_data/hic/HG02523-1_FC3_S75_L004_R2_001.fastq.gz																																																																											HG02523	HIC_Y3_Y4_part2_data_table__final.csv
SRR34899860																						NA19703-2_FC1_S16_L002_R1_001.fastq.gz																																																																											NA19703	HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949486																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20806/raw_data/hic/NA20806-2_FC2_S44_L002_R2_001.fastq.gz																																																																											NA20806	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367129																						HG01978_PAM62027_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01978	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949425																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03688/raw_data/hic/HG03688-2_FC3_S70_L004_R1_001.fastq.gz																																																																											HG03688	HIC_Y3_Y4_part2_data_table__final.csv
SRR33469117																						11_12_24_R1041_UL_HPRC_HG02615_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02615	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
																						NA19131-2_FC4_S21_L001_R2_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
SRR29497343																						10_31_23_R1041_HPRC_HG03136_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03136	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949536																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-2_FC2_S36_L002_R2_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949429																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03688/raw_data/hic/HG03688-1_FC3_S67_L004_R2_001.fastq.gz																																																																											HG03688	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949456																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01433/raw_data/hic/HG01433-1_FC3_S49_L003_R2_001.fastq.gz																																																																											HG01433	HIC_Y3_Y4_part2_data_table__final.csv
SRR29405764																						m84091_230710_172927_s2.hifi_reads.bc1017.bam																																																																											NA20287	RU_Y4_data_table__final.csv
SRR34899881																						HG01894-1_FC2_S5_L001_R1_001.fastq.gz																																																																											HG01894	HPRC-OmniC-100124Pools_data_table__final.csv
SRR31367122																						HG03516_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG03516	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR33469147																						11_18_24_R1041_UL_HPRC_HG02135_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG02135	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR26304602																						08_10_21_R941_HG04187_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR33469169																						12_02_24_R1041_UL_HPRC_HG01943_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam																																																																											HG01943	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR34949468																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01192/raw_data/hic/HG01192-2_FC4_S82_L004_R2_001.fastq.gz																																																																											HG01192	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313819																						07_20_21_R941_HG03942_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34949450																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01934/raw_data/hic/HG01934-1_FC1_S51_L003_R1_001.fastq.gz																																																																											HG01934	HIC_Y3_Y4_part2_data_table__final.csv
SRR26304603																						08_03_21_R941_HG04160_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR31367040																						HG02486_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02486	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949649																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19835/raw_data/hic/NA19835-2_FC2_S2_L001_R2_001.fastq.gz																																																																											NA19835	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949482																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20809/raw_data/hic/NA20809-1_FC2_S10_L001_R2_001.fastq.gz																																																																											NA20809	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497420																						11_7_23_R1041_HPRC_NA19390_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA19390	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29497273																						10_17_23_R1041_HPRC_NA18638_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											NA18638	UCSC_HPRC_nanopore_Year4_data_table__final.csv
																						HG04153-1_FC3_S14_L001_R2_001.fastq.gz																																																																												HIC_Y3_Y4_part2_data_table__final.csv
SRR29483157																						m84046_230728_232723_s1.hifi_reads.bc2090.bam																																																																											HG01766	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
																						HG02624-2_FC2_S26_L003_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR33469122																						12_09_24_R1041_UL_HPRC_HG04204_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG04204	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31367239																						12_7_22_R941_HG01361_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01361	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949560																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00350/raw_data/hic/HG00350-2_FC2_S32_L002_R1_001.fastq.gz																																																																											HG00350	HIC_Y3_Y4_part2_data_table__final.csv
SRR31366959																						HG01175_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01175	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949659																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19776/raw_data/hic/NA19776-2_FC1_S63_L003_R1_001.fastq.gz																																																																											NA19776	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367223																						HG01928_PAK43931_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01928	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31367232																						HG01175_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01175	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31367221																						HG01928_PAK44506_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01928	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR26313832																						08_10_21_R941_HG00642_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34949551																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01167/raw_data/hic/HG01167-2_FC2_S20_L001_R2_001.fastq.gz																																																																											HG01167	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367046																						HG01106_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01106	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949541																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02668/raw_data/hic/HG02668-2_FC2_S48_L003_R2_001.fastq.gz																																																																											HG02668	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949498																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA18879/raw_data/hic/NA18879-1_FC1_S7_L001_R1_001.fastq.gz																																																																											NA18879	HIC_Y3_Y4_part2_data_table__final.csv
SRR34899884																						HG01048-2_FC1_S8_L001_R1_001.fastq.gz																																																																											HG01048	HPRC-OmniC-100124Pools_data_table__final.csv
SRR31367025																						HG01978_PAM62481_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01978	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR29405812																						m84091_240308_215845_s3.hifi_reads.bc1008.bam																																																																											HG03108	RU_Y4_data_table__final.csv
SRR30717285																						NA20300.m64043_191111_040652.dc.q20.fastq.gz																																																																											NA20300	HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20_data_table__final.csv
SRR29497400																						09_06_23_R1041_HPRC_HG00117_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG00117	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR29483158																						m84046_230722_180255_s3.hifi_reads.bc2090.bam																																																																											HG01766	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
																						HG04225-2_FC1_S24_L002_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949531																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03369/raw_data/hic/HG03369-2_FC3_S38_L002_R2_001.fastq.gz																																																																											HG03369	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949552																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01167/raw_data/hic/HG01167-2_FC1_S20_L001_R1_001.fastq.gz																																																																											HG01167	HIC_Y3_Y4_part2_data_table__final.csv
																						HG00375-2_FC2_S38_L004_R1_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR29483235																						m84046_230501_151821_s4.hifi_reads.bc2092.bam																																																																											NA19390	UW_HPRC_HiFi_Y4_AND_Y3_Topoff_data_table__final.csv
SRR34949634																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA21144/raw_data/hic/NA21144-2_FC1_S46_L002_R1_001.fastq.gz																																																																											NA21144	HIC_Y3_Y4_part2_data_table__final.csv
SRR26313832																						08_10_21_R941_HG00642_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																												UCSC_HPRC_nanopore_Year2_data_table__final.csv
SRR34949656																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19776/raw_data/hic/NA19776-2_FC4_S63_L003_R1_001.fastq.gz																																																																											NA19776	HIC_Y3_Y4_part2_data_table__final.csv
SRR33469159																						11_12_24_R1041_UL_HPRC_HG01433_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam																																																																											HG01433	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
SRR31367220																						HG01928_PAK44599_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01928	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949459																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-1_FC1_S35_L002_R2_001.fastq.gz																																																																											HG00235	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949624																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00329/raw_data/hic/HG00329-2_FC4_S40_L002_R1_001.fastq.gz																																																																											HG00329	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949369																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02027/raw_data/hic/HG02027-1_FC1_S73_L004_R2_001.fastq.gz																																																																											HG02027	HIC_Y3_Y4_part2_data_table__final.csv
SRR29497593																						09_06_23_R1041_HPRC_HG03108_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG03108	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949402																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19682/raw_data/hic/NA19682-2_FC3_S57_L003_R2_001.fastq.gz																																																																											NA19682	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367242																						12_7_22_R941_HG01358_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01358	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31367224																						HG01258_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01258	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR31367042																						HG02257_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02257	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR34949663																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19776/raw_data/hic/NA19776-1_FC1_S60_L003_R1_001.fastq.gz																																																																											NA19776	HIC_Y3_Y4_part2_data_table__final.csv
																						HG02470-1_FC2_S39_L004_R1_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR30717294																						HG02970.m64043_200310_162218.dc.q20.fastq.gz																																																																											HG02970	HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20_data_table__final.csv
SRR29497442																						10_17_23_R1041_HPRC_HG00258_2_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam																																																																											HG00258	UCSC_HPRC_nanopore_Year4_data_table__final.csv
SRR34949392																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20850/raw_data/hic/NA20850-1_FC1_S8_L001_R2_001.fastq.gz																																																																											NA20850	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367150																						12_7_22_R941_HG01123_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG01123	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
																						HG00120-1_FC2_S47_L004_R1_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949437																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG03654/raw_data/hic/HG03654-1_FC4_S65_L004_R2_001.fastq.gz																																																																											HG03654	HIC_Y3_Y4_part2_data_table__final.csv
																						NA19360-2_FC2_S32_L003_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949581																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20346/raw_data/hic/NA20346-1_FC1_S59_L003_R2_001.fastq.gz																																																																											NA20346	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949395																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00272/raw_data/hic/HG00272-2_FC3_S4_L001_R2_001.fastq.gz																																																																											HG00272	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949642																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19909/raw_data/hic/NA19909-2_FC1_S56_L003_R2_001.fastq.gz																																																																											NA19909	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949580																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20346/raw_data/hic/NA20346-1_FC2_S59_L003_R2_001.fastq.gz																																																																											NA20346	HIC_Y3_Y4_part2_data_table__final.csv
SRR31367248																						1_11_23_R941_HG02886_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam																																																																											HG02886	UCSC_HPRC_ONT_Y1_WTOPUP_GUPPY6_data_table__final.csv
SRR33469175																						11_12_24_R1041_UL_HPRC_HG01099_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam																																																																											HG01099	UCSC_HPRC_nanopore_Year2_R10_data_table__final.csv
																						HG00120-2_FC1_S48_L004_R2_001.fastq.gz																																																																												HPRC-OmniC-100124Pools_data_table__final.csv
SRR34949596																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG02523/raw_data/hic/HG02523-2_FC4_S78_L004_R1_001.fastq.gz																																																																											HG02523	HIC_Y3_Y4_part2_data_table__final.csv
SRR33819701																						HG03492_PAM34995_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam																																																																					29179016669	d43479195e620edf9baa010297b5b3e0					HG03492	['manifest','HPRC_PLUS_nanopore_misc_R2_data_table__final.csv']
SRR34949412																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-2_FC3_S34_L002_R1_001.fastq.gz																																																																											HG00253	HIC_Y3_Y4_part2_data_table__final.csv
SRR34949589																						s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20282/raw_data/hic/NA20282-1_FC2_S58_L003_R2_001.fastq.gz																																																																											NA20282	HIC_Y3_Y4_part2_data_table__final.csv
