__index__filename	accession	path	manifest_checksum	manifest_gs_path	index_sheet	in_working
HG03672-2_FC1_S12_L001_R1_001.fastq.gz	SRR34899846					
HG01167-2_FC2_S20_L001_R2_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG01167/raw_data/hic/HG01167-2_FC2_S20_L001_R2_001.fastq.gz			hic	false
HG03130.m64076_220518_191414.dc.q20.fastq.gz	SRR26545326	s3://human-pangenomics/working/HPRC/HG03130/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03130.m64076_220518_191414.dc.q20.fastq.gz	26fc3567066cc00011e64a26d32d7cd3	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG03130/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03130.m64076_220518_191414.dc.q20.fastq.gz	dc	true
HG03470-1_S18_L003_R2_001.fastq.gz	SRR30242319	s3://human-pangenomics/working/HPRC/HG03470/raw_data/hic/HG03470-1_S18_L003_R2_001.fastq.gz	7577b7dc0f9a90ed5daa72c90775af89	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG03470/raw_data/hic/HG03470-1_S18_L003_R2_001.fastq.gz	hic	true
HG02155-1_S24_L003_R1_001.fastq.gz	SRR30242247	s3://human-pangenomics/working/HPRC/HG02155/raw_data/hic/HG02155-1_S24_L003_R1_001.fastq.gz	ca98a284c98c1436370843865c4deefa	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02155/raw_data/hic/HG02155-1_S24_L003_R1_001.fastq.gz	hic	true
NA19190-2_FC1_S10_L001_R2_001.fastq.gz						
m54329U_200130_064539.ccs.bam	SRR13684280	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200130_064539.ccs.bam	70101230f277407ad0bcfe17a899e57c	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200130_064539.ccs.bam	hifi	true
m54329U_200313_161638.ccs.bam	SRR13684277	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200313_161638.ccs.bam	9e1bc1730f12f45e601b685b9569de18	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200313_161638.ccs.bam	hifi	true
HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam		s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_Kinnex/HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	e5364f7ed5636543fcba33e2b838ef07	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_Kinnex/HG02886.lymph.m84081_240703_203142_s1-m84081_240709_185528_s2.flnc.bam	kinnex	true
m64055e_220911_090142.5mc.hifi_reads.bam	SRR30151941	s3://human-pangenomics/working/HPRC/NA19087/raw_data/PacBio_HiFi/primrose/m64055e_220911_090142.5mc.hifi_reads.bam	a6612087bb8186094bc6df924a93ef26	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA19087/raw_data/PacBio_HiFi/primrose/m64055e_220911_090142.5mc.hifi_reads.bam	hifi	true
09_27_2022_R941_GM20799_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam		s3://human-pangenomics/working/HPRC/NA20799/raw_data/nanopore/guppy_6/09_27_2022_R941_GM20799_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	df84965a7610e5ceb99ae656fd1e2a31	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA20799/raw_data/nanopore/guppy_6/09_27_2022_R941_GM20799_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
HG00140-2_S30_L002_R1_001.fastq.gz	SRR30242372	s3://human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L002_R1_001.fastq.gz	fdd44bd04779d410971e440e8fd8f8d2	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00140/raw_data/hic/HG00140-2_S30_L002_R1_001.fastq.gz	hic	true
HG00235-2_FC2_S36_L002_R1_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00235/raw_data/hic/HG00235-2_FC2_S36_L002_R1_001.fastq.gz			hic	false
NA18879-2_FC4_S15_L001_R2_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA18879/raw_data/hic/NA18879-2_FC4_S15_L001_R2_001.fastq.gz			hic	false
HG02922-1_S18i_L002_R2_001.fastq.gz	SRR30242403	s3://human-pangenomics/working/HPRC/HG02922/raw_data/hic/HG02922-1_S18i_L002_R2_001.fastq.gz	86e053070023bb03618cd1f5e25d0637	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02922/raw_data/hic/HG02922-1_S18i_L002_R2_001.fastq.gz	hic	true
03_14_23_R941_HG02572_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	SRR31367006	s3://human-pangenomics/working/HPRC/HG02572/raw_data/nanopore/guppy_6/03_14_23_R941_HG02572_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	d7fe0722c92cad47fc1f7f5ffd115356	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02572/raw_data/nanopore/guppy_6/03_14_23_R941_HG02572_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20282/raw_data/hic/NA20282-2_FC1_S61_L003_R1_001.fastq.gz	SRR34949586					
HG02145.m64043_200924_175630.dc.q20.fastq.gz	SRR30717314	s3://human-pangenomics/working/HPRC_PLUS/HG02145/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02145.m64043_200924_175630.dc.q20.fastq.gz	2ffa8e18b1022220d2cdd31b588c8023	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC_PLUS/HG02145/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02145.m64043_200924_175630.dc.q20.fastq.gz	dc	true
HG03458-1_FC1_S52_L003_R2_001.fastq.gz						
HG00735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	SRR31367057					
HG01952_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	SRR31367139					
08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	SRR26313862	s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	81d7b7b3ef549c576d8065978bd91a03	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
HG02135-09a-1_S7_L001_R1_001.fastq.gz	SRR30613721	s3://human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L001_R1_001.fastq.gz	aa3f6d92c81c8fd92fa7de3033555f75	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02135/raw_data/hic/HG02135-09a-1_S7_L001_R1_001.fastq.gz	hic	true
m84091_231208_194716_s4.hifi_reads.bc1021.bam	SRR30336756	s3://human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_194716_s4.hifi_reads.bc1021.bam	516abc41525f69735560313480a120bf	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01530/raw_data/PacBio_HiFi/m84091_231208_194716_s4.hifi_reads.bc1021.bam	hifi	true
m84091_240221_212852_s2.hifi_reads.bc1009.bam	SRR29405768					
HG00735.lymph.m84046_240713_051553_s2.flnc.bam		s3://human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240713_051553_s2.flnc.bam	8304cf22b5c1cbd7798b5cd3afc61670	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240713_051553_s2.flnc.bam	kinnex	true
HG02647.m64076_210527_231639.dc.q20.fastq.gz	SRR25618924	s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210527_231639.dc.q20.fastq.gz	1b6f780bb2ccbe157c81d88a4f4fb106	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210527_231639.dc.q20.fastq.gz	dc	true
HG03492_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam			6420190de7155b57b2ea4e52442a2157			
HG01981-51d-1_S1_L003_R1_001.fastq.gz	SRR30613726	s3://human-pangenomics/working/HPRC/HG01981/raw_data/hic/HG01981-51d-1_S1_L003_R1_001.fastq.gz	26001fa3efbf6f5e1166be54fa89481a	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01981/raw_data/hic/HG01981-51d-1_S1_L003_R1_001.fastq.gz	hic	true
s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/HG00253/raw_data/hic/HG00253-1_FC1_S33_L002_R1_001.fastq.gz	SRR34949431					
08_17_21_R941_HG02735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	SRR26313854					
HG03209-2_S15_L003_R1_001.fastq.gz	SRR30242239	s3://human-pangenomics/working/HPRC/HG03209/raw_data/hic/HG03209-2_S15_L003_R1_001.fastq.gz	2b1f76b5343868b7c4ad2612018b18f3	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG03209/raw_data/hic/HG03209-2_S15_L003_R1_001.fastq.gz	hic	true
HG01255-22b-1_S1_L004_R1_001.fastq.gz	SRR30613656	s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L004_R1_001.fastq.gz	6e095987dfb08cb1dd4bdb040f417f22	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L004_R1_001.fastq.gz	hic	true
HG02886.m64043_200413_102554.dc.q20.fastq.gz	SRR30717348	s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02886.m64043_200413_102554.dc.q20.fastq.gz	491113bcabf6a9c2c5ea8ab30d80e4ff	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02886.m64043_200413_102554.dc.q20.fastq.gz	dc	true
HG02622.m64043_200604_075218.dc.q20.fastq.gz	SRR30717176	s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02622.m64043_200604_075218.dc.q20.fastq.gz	f5e0e2e370a7122046e1cf1e4cdf4bcd	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02622.m64043_200604_075218.dc.q20.fastq.gz	dc	true
NA18508-1_FC1_S7_L002_R2_001.fastq.gz	SRR30310965	s3://human-pangenomics/working/HPRC/NA18508/raw_data/hic/NA18508-1_FC1_S7_L002_R2_001.fastq.gz	e66dab9e32c5968ea9c1abcfc74760e5	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA18508/raw_data/hic/NA18508-1_FC1_S7_L002_R2_001.fastq.gz	hic	true
NA19776-2_FC2_S63_L003_R2_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19776/raw_data/hic/NA19776-2_FC2_S63_L003_R2_001.fastq.gz			hic	false
SE5138_NWM051-4_S8_L001_R2_001.trimmed.fastq.gz		s3://human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/hic/SE5138_NWM051-4_S8_L001_R2_001.trimmed.fastq.gz	8bb0a88e1ca1b40b92598cfa7eef3d68	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC_PLUS/HG02080/raw_data/hic/SE5138_NWM051-4_S8_L001_R2_001.trimmed.fastq.gz	hic	true
NA19776-1_FC4_S60_L003_R1_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA19776/raw_data/hic/NA19776-1_FC4_S60_L003_R1_001.fastq.gz			hic	false
08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	SRR26313833	s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	305e79e4877585405268db2e2e310278	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/guppy_6/08_17_21_R941_HG01346_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
NA20827-2_FC1_S24_L002_R2_001.fastq.gz		s3://human-pangenomics/submissions/1005B25C-EAFA-40A7-AD42-45759D174009--HIC_Y3_Y4_part2/NA20827/raw_data/hic/NA20827-2_FC1_S24_L002_R2_001.fastq.gz			hic	false
HG01123.m54329U_200205_002609.dc.q20.fastq.gz	SRR30717266	s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200205_002609.dc.q20.fastq.gz	10b423bc14267553d53b7d561d896c5b	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01123.m54329U_200205_002609.dc.q20.fastq.gz	dc	true
HG02922-2_S20i_L001_R2_001.fastq.gz	SRR30242396	s3://human-pangenomics/working/HPRC/HG02922/raw_data/hic/HG02922-2_S20i_L001_R2_001.fastq.gz	684a3e76501114f7962bba6f6d88ff99	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02922/raw_data/hic/HG02922-2_S20i_L001_R2_001.fastq.gz	hic	true
NWM236b-2_S20_L002_R2_001.fastq.gz		s3://human-pangenomics/working/HPRC/HG00438/raw_data/hic/NWM236b-2_S20_L002_R2_001.fastq.gz	7a0ac0dff0377d095551ea21866f3b39	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00438/raw_data/hic/NWM236b-2_S20_L002_R2_001.fastq.gz	hic	true
SE5313_FT-SA29556_S58_L005_R2_001.fastq.gz		s3://human-pangenomics/working/HPRC_PLUS/HG02145/raw_data/hic/SE5313_FT-SA29556_S58_L005_R2_001.fastq.gz	9df364b2b4c3f2a42252a67665e74dd8	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC_PLUS/HG02145/raw_data/hic/SE5313_FT-SA29556_S58_L005_R2_001.fastq.gz	hic	true
HG00621.lymph.m84046_240713_091428_s4.flnc.bam		s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240713_091428_s4.flnc.bam	daf1cbafdb8c60b6ef362760be802f6f	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240713_091428_s4.flnc.bam	kinnex	true
m64334e_220821_130100.5mc.hifi_reads.bam	SRR30152004	s3://human-pangenomics/working/HPRC/NA18570/raw_data/PacBio_HiFi/primrose/m64334e_220821_130100.5mc.hifi_reads.bam	955a3d2002acb15207b7204ba1f56e16	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA18570/raw_data/PacBio_HiFi/primrose/m64334e_220821_130100.5mc.hifi_reads.bam	hifi	true
m84081_230727_190726_s1.hifi_reads.bc2030.bam	SRR33616487	s3://human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.bc2030.bam	09e08fef9ae140e67d0c20b5d2ed85f3	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02056/raw_data/PacBio_HiFi/m84081_230727_190726_s1.hifi_reads.bc2030.bam	hifi	true
04_12_22_R941_HG02976_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	SRR26373413	s3://human-pangenomics/working/HPRC/HG02976/raw_data/nanopore/guppy_6/04_12_22_R941_HG02976_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	e7d9c40d4710eb884d81a41fecaac929	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG02976/raw_data/nanopore/guppy_6/04_12_22_R941_HG02976_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ont	true
HG03583-2_FC2_S16_L004_R1_001.fastq.gz	SRR30310804	s3://human-pangenomics/working/HPRC/HG03583/raw_data/hic/HG03583-2_FC2_S16_L004_R1_001.fastq.gz	3f7bbb515721c361dd121a16562d0fd2	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG03583/raw_data/hic/HG03583-2_FC2_S16_L004_R1_001.fastq.gz	hic	true
10_24_23_R1041_HPRC_NA21106_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	SRR29497497	s3://human-pangenomics/working/HPRC/NA21106/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_24_23_R1041_HPRC_NA21106_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	be7a1d9f6fa080332d74446c284d4a68	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA21106/raw_data/nanopore/dorado0.6.0_sup4.3.0_5mCG_5hmCG/10_24_23_R1041_HPRC_NA21106_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	ont	true
HG04184.m64076_210708_084125.dc.q20.fastq.gz	SRR25618912	s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210708_084125.dc.q20.fastq.gz	a0d14701dd1f2b1f7fa5a038a79d34ce	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210708_084125.dc.q20.fastq.gz	dc	true
NA20752.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam		s3://human-pangenomics/working/HPRC/NA20752/raw_data/PacBio_Kinnex/NA20752.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	69ea7b1717729f8a90ab31cdd6b24706	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA20752/raw_data/PacBio_Kinnex/NA20752.lymph.m84081_240724_065335_s1-m84081_240724_045406_s2.flnc.bam	kinnex	true
HG01346-35a-1_S13_L003_R1_001.fastq.gz	SRR30613828	s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L003_R1_001.fastq.gz	eb65baff1044951e3074e40c0f910b1f	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L003_R1_001.fastq.gz	hic	true
NA20799-2_S12_L002_R2_001.fastq.gz	SRR30242430	s3://human-pangenomics/working/HPRC/NA20799/raw_data/hic/NA20799-2_S12_L002_R2_001.fastq.gz	2f08309a9134401fa0f5a04f3d525091	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/NA20799/raw_data/hic/NA20799-2_S12_L002_R2_001.fastq.gz	hic	true
HG04187.lymph.m84046_240713_091428_s4.flnc.bam		s3://human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_Kinnex/HG04187.lymph.m84046_240713_091428_s4.flnc.bam	236437890c25ab4fad15245187503211	gs://fc-dcbd33a0-b9cf-475e-97c5-7fcfa3b51c71/human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_Kinnex/HG04187.lymph.m84046_240713_091428_s4.flnc.bam	kinnex	true
