ChildID	N	Sex	Subpopulation	Superpopulation	Production Year
HG04187	BD62	male	BEB	SAS	YR2
HG03804	BD18	female	BEB	SAS	YR2
HG04160	BD53	male	BEB	SAS	YR2
HG04157	BD52	male	BEB	SAS	YR2
HG03816	BD22	female	BEB	SAS	YR2
HG03710	PK62	male	PJL	SAS	YR2
HG02602	PK09	male	PJL	SAS	YR2
HG03654	PK53	male	PJL	SAS	YR2
HG02698	PK21	male	PJL	SAS	YR2
HG02662	PK15	female	PJL	SAS	Fail Karyo
HG04228	ST232	male	STU	SAS	YR2
HG03688	ST016	male	STU	SAS	YR2
HG04204	ST006	male	STU	SAS	YR2
HG04199	ST203	male	STU	SAS	YR2
HG04115	ST111	male	STU	SAS	YR2
HG02668	GB40	male	GWD	AFR	YR2
HG00706	SH090	male	CHS	EAS	YR2
HG03825	BD25	female	BEB	SAS	"Fail Karyo
Eval HPRC+?"
HG02656	PK13	male	PJL	SAS	"Fail Karyo
Eval HPRC+?"
HG01887	BB04	male	ACB	AFR	"Fail Karyo
Eval HPRC+?"
HG00544	SH042	female	CHS	EAS	YR2
HG03669	PK58	female	PJL	SAS	YR2
HG01255	CLM15	male	CLM	AMR	YR2
HG02615	GB29	female	GWD	AFR	YR2
HG00738	PR07	male	PUR	AMR	YR2
HG01439	CLM45	female	CLM	AMR	Fail Karyo
HG03927	BD37	female	BEB	SAS	YR2
HG00642	PR04	male	PUR	AMR	YR2
HG01346	CLM27	female	CLM	AMR	YR2
HG02647	GB38	male	GWD	AFR	YR2
HG03831	BD27	female	BEB	SAS	YR2
HG01959	BB10	female	ACB	AFR	Fail Karyo
HG01993	PEL29	female	PEL	AMR	YR2
HG02605	PK10	female	PJL	SAS	Fail Karyo
HG01433	CLM43	male	CLM	AMR	YR2
HG04184	BD61	female	BEB	SAS	YR2
HG02683	PK16	female	PJL	SAS	YR2
HG02300	PEL52	female	PEL	AMR	YR2
HG02738	PK27	male	PJL	SAS	YR2
HG01884	BB03	female	ACB	AFR	YR2
HG01496	CLM64	female	CLM	AMR	YR2
HG02773	GB58	male	GWD	AFR	Fail Karyo
HG00609	SH062	male	CHS	EAS	YR2
HG01981	PEL27	female	PEL	AMR	YR2
HG02004	PEL33	female	PEL	AMR	YR2
HG02280	BB23	female	ACB	AFR	YR2
HG01099	PR31	male	PUR	AMR	YR2
HG02809	GB63	female	GWD	AFR	YR2
HG02077	VN067	male	KHV	EAS	Fail Karyo
HG01943	PEL016	male	PEL	AMR	YR2
HG02293	PEL51	female	PEL	AMR	YR2
HG01397	PR71	female	PUR	AMR	no Broad Illumina
HG03704	PK60	female	PJL	SAS	YR3
HG02735	PK26	male	PJL	SAS	YR3
HG03909	BD31	male	BEB	SAS	Fail Karyo
HG02451	BB46	female	ACB	AFR	YR3
HG01934	PEL013	male	PEL	AMR	YR2
HG00597	SH058	female	CHS	EAS	YR3
HG02015	VN046	male	KHV	EAS	YR3
HG01261	CLM17	male	CLM	AMR	YR3
HG01975	PEL25	female	PEL	AMR	YR3
HG00408	SH002	female	CHS	EAS	YR3
HG01445	CLM47	male	CLM	AMR	no Broad Illumina
HG01411	PR63	male	PUR	AMR	no Broad Illumina
HG01355	CLM30	female	CLM	AMR	Fail Karyo
HG02056	VN060	male	KHV	EAS	YR3
HG01192	PR40	male	PUR	AMR	YR3
HG01394	PR70	female	PUR	AMR	no Broad Illumina
HG03834	BD28	female	BEB	SAS	YR3
HG02258	BB22	male	ACB	AFR	YR3
HG02129	VN079	male	KHV	EAS	YR3
HG01074	PR18	male	PUR	AMR	YR3
HG03041	GB110	female	GWD	AFR	YR3
HG00639	PR03	female	PUR	AMR	YR3
HG01081	PR21	female	PUR	AMR	YR3
HG03239	PK41	female	PJL	SAS	YR3
HG03017	PK35	male	PJL	SAS	YR3
HG01960	BB11	female	ACB	AFR	YR3
HG02841	GB74	female	GWD	AFR	YR3
HG02984	GB97	male	GWD	AFR	YR3
HG03050	GB113	male	GWD	AFR	YR3
HG01940	PEL015	female	PEL	AMR	YR3
HG02514	VN087	male	KHV	EAS	YR3
HG00658	SH074	male	CHS	EAS	YR3
HG01150	CLM12	female	CLM	AMR	YR3
HG01969	PEL023	female	PEL	AMR	YR3
HG01252	CLM14	male	CLM	AMR	YR3
HG01141	CLM09	female	CLM	AMR	Fail Karyo
HG04142	BD47	female	BEB	SAS	Fail Karyo
HG02815	GB65	male	GWD	AFR	Fail Karyo
HG00558	SH045	female	CHS	EAS	YR3
HG02273	PEL46	female	PEL	AMR	YR3
HG00594	SH057	male	CHS	EAS	Fail Karyo
HG02689	PK18	male	PJL	SAS	Skip
HG02838	GB73	male	GWD	AFR	Skip
HG02889	GB90	female	GWD	AFR	Skip
HG02856	GB79	male	GWD	AFR	Skip
HG01135	CLM07	male	CLM	AMR	Skip
HG01385	CLM40	female	CLM	AMR	Skip
HG01922	PEL009	female	PEL	AMR	Skip
HG01949	PEL018	female	PEL	AMR	Skip
HG01249	PR34	female	PUR	AMR	Skip
HG00453	SH017	female	CHS	EAS	do not ship to production centers
HG00700	SH088	female	CHS	EAS	do not ship to production centers
HG00405	SH001	female	CHS	EAS	do not ship to production centers
HG02030	VN051	male	KHV	EAS	Skip
HG03626	PK46	female	PJL	SAS	Skip
HG02701	PK22	male	PJL	SAS	Skip
HG03707	PK61	male	PJL	SAS	Skip
HG03225	NaN	male	MSL	AFR	YR3
HG02965	NG20	male	ESN	AFR	YR3
GM19454	NaN	male	LWK	AFR	Fail Karyo
HG02976	NG24	female	ESN	AFR	YR3
HG03195	NG58	female	ESN	AFR	YR3
HG03139	NaN	male	ESN	AFR	YR3
HG03130	NG36	male	ESN	AFR	YR3
NA18934	Y036	male	YRI	AFR	Fail Karyo
HG03209	NaN	male	MSL	AFR	YR3
NA18522	Y016	male	YRI	AFR	YR3
NA19338	NaN	female	LWK	AFR	YR3
NA19391	NaN	female	LWK	AFR	YR3
NA19468	NaN	female	LWK	AFR	YR3
HG03470	SL56	female	MSL	AFR	YR3
HG03458	NaN	female	MSL	AFR	YR3
NA18971	NaN	male	JPT	EAS	YR3
HG02155	NaN	female	CDX	EAS	YR3
NA18612	NaN	male	CHB	EAS	YR3
HG00140	NaN	male	GBR	EUR	YR3
HG00323	NaN	female	FIN	EUR	YR3
HG02922	NG06	female	ESN	AFR	YR3
HG02165	NaN	female	CDX	EAS	YR3
NA18983	NaN	male	JPT	EAS	YR3
HG02040	NaN	male	KHV	EAS	YR3
NA18747	NaN	male	CHB	EAS	YR3
NA19159	Y056	female	YRI	AFR	YR3
NA19185	Y039	female	YRI	AFR	YR3
HG02391	NaN	male	CDX	EAS	YR3
NA18570	NaN	female	CHB	EAS	YR3
NA19087	NaN	female	JPT	EAS	YR3
NA20805	NaN	male	TSI	EUR	YR3
HG03792	NaN	male	ITU	SAS	YR4
NA20858	NaN	male	GIH	SAS	YR4
HG04222	NaN	male	ITU	SAS	Fail Karyo
HG00099	NaN	female	GBR	EUR	YR3
HG00280	NaN	male	FIN	EUR	YR3
NA20752	NaN	male	TSI	EUR	YR3
NA20905	NaN	male	GIH	SAS	YR3
HG01530	NaN	male	IBS	EUR	YR3
HG01784	NaN	female	IBS	EUR	YR3
NA20799	NaN	female	TSI	EUR	YR3
HG03742	NaN	male	ITU	SAS	YR3
NA19043 (replacement GM19454)	NaN	male	LWK	AFR	YR3
NA19120 (replacement NA18934)	Y060	male	YRI	AFR	YR4
NA19909	NaN	female	ASW	AFR	YR4
NA20282	NaN	female	ASW	AFR	YR4
NA20346	NaN	male	ASW	AFR	YR4
NA20348	NaN	male	ASW	AFR	Fail Karyo
NA19776	NaN	female	MXL	AMR	YR4
NA19682	NaN	male	MXL	AMR	YR4
NA19700	NaN	male	ASW	AFR	YR4
NA19390	NaN	female	LWK	AFR	YR4
NA19175	Y044	male	YRI	AFR	YR4
HG02392	NaN	male	CDX	EAS	YR4
HG00867	NaN	female	CDX	EAS	YR4
HG02178	NaN	female	CDX	EAS	YR4
NA18620	NaN	male	CHB	EAS	YR4
NA18608	NaN	male	CHB	EAS	YR4
NA18974	NaN	male	JPT	EAS	YR4
NA18952	NaN	male	JPT	EAS	YR4
NA18976	NaN	female	JPT	EAS	YR4
NA20870	NaN	male	GIH	SAS	YR4
NA21110	NaN	female	GIH	SAS	YR4
HG03874	NaN	female	ITU	SAS	YR4
NA18881	NaN	female	YRI	AFR	Fail Karyo
NA18508	NaN	female	YRI	AFR	YR4
NA21093	NaN	male	GIH	SAS	YR4
HG03611	NaN	female	BEB	SAS	YR4
NA21106	NaN	female	GIH	SAS	YR4
NA19374	NaN	male	LWK	AFR	Fail Karyo
NA20503	NaN	female	TSI	EUR	YR4
HG03270	NaN	female	ESN	AFR	YR4
HG00320	NaN	female	FIN	EUR	YR4
HG01786	NaN	female	IBS	EUR	YR4
HG00146	NaN	female	GBR	EUR	YR4
HG00232	NaN	female	GBR	EUR	YR4
HG00321	NaN	male	FIN	EUR	YR4
HG00126	NaN	male	GBR	EUR	YR4
HG00133	NaN	female	GBR	EUR	YR4
HG00290	NaN	male	FIN	EUR	YR4
NA19443	NaN	male	LWK	AFR	YR4
HG00128	NaN	female	GBR	EUR	YR4
NA19036	NaN	female	LWK	AFR	YR4
NA18505	Y005	female	YRI	AFR	YR4
HG00243	NaN	male	GBR	EUR	YR4
HG03583	SL73	female	MSL	AFR	YR4
HG00329	NaN	male	FIN	EUR	YR4
HG03784	NaN	female	ITU	SAS	YR4
NA20806	NaN	male	TSI	EUR	YR4
NA21144	NaN	female	GIH	SAS	YR4
NA20827	NaN	male	TSI	EUR	YR4
HG01248	PR32	female	PUR	AMR	Fail Karyo
HG03521	NG109	male	ESN	AFR	YR4
NA20762	NaN	male	TSI	EUR	YR4
HG00344	NaN	female	FIN	EUR	YR4
HG00350	NaN	female	FIN	EUR	YR4
NA20357	2494	female	ASW	AFR	YR4
HG03572	NaN	female	MSL	AFR	YR4
HG02583	GB23	female	GWD	AFR	YR4
NA20287	2470	female	ASW	AFR	YR4
NA18489	Y002	female	YRI	AFR	Fail Karyo
HG03111	NG30	female	ESN	AFR	Fail Karyo
HG00272	NaN	female	FIN	EUR	YR4
HG00097	NaN	female	GBR	EUR	YR4
NA18879			YRI	AFR	YR4
HG01766			IBS	EUR	YR4
NA18871			YRI	AFR	YR4
NA20850			GIH	SAS	YR4
NA19835			ASW	AFR	YR4
NA19377			LWK	AFR	Fail Karyo
HG00253			GBR	EUR	YR4
HG00235			GBR	EUR	YR4
HG03369			ESN	AFR	YR4
NA18565			CHB	EAS	YR4
NA20818			TSI	EUR	YR4
HG00384			FIN	EUR	Fail Karyo
NA20809			TSI	EUR	YR4
NA21102			GIH	SAS	YR4
HG03457			MSL	AFR	YR4
HG01028			CDX	EAS	YR4
HG03778			ITU	SAS	YR4
HG00258			GBR	EUR	YR4
HG03136			ESN	AFR	YR4
HG01626			IBS	EUR	Fail Karyo
HG00662			CHS	EAS	YR4
HG01167			PUR	AMR	YR4
NA19131			YRI	AFR	YR4
HG04153			BEB	SAS	YR4
NA19099			YRI	AFR	YR4
HG03343			ESN	AFR	YR4
HG01785			IBS	EUR	Fail Karyo
HG01894			ACB	AFR	YR4
NA19834			ASW	AFR	YR4
HG03103			ESN	AFR	YR4
HG01048			PUR	AMR	YR4
NA19190			YRI	AFR	YR4
HG04225			ITU	SAS	YR4
NA19012			JPT	EAS	YR4
HG02624			GWD	AFR	YR4
HG03672			STU	SAS	YR4
HG03372			ESN	AFR	YR4
HG03108			ESN	AFR	YR4
NA19703			ASW	AFR	YR4
HG00106			GBR	EUR	YR4
HG00117			GBR	EUR	YR4
HG01798			CDX	EAS	YR4
HG03919			BEB	SAS	YR4
HG03388			MSL	AFR	YR4
NA19042	fiber-seq pilot		LWK	AFR	YR4
NA19315	fiber-seq pilot		LWK	AFR	Fail Karyo
NA18638	fiber-seq pilot		CHB	EAS	Fail Karyo
NA21101			GIH	SAS	Fail Karyo
HG00701			CHS	EAS	YR4
HG03072			MSL	AFR	YR4
HG03445			MSL	AFR	YR4
HG03788	ITU				YR5
HG00119	GBR				YR5
NA18523	YRI				Fail Karyo
NA18606	CHB				YR5
NA18636	CHB				YR5
HG01610	IBS				YR5
NA18611	CHB				YR5
HG04002	ITU				Fail Karyo
NA19355	LWK				Fail Karyo
HG03198	ESN				YR5
NA20362	ASW				YR5
HG03854	STU				YR5
HG00118	GBR				YR5
HG03060	MSL				Fail Karyo
HG03117	ESN				YR5
HG04216	ITU				YR5
HG03691	STU				YR5
HG01516	IBS				YR5
HG02337	ACB				YR5
HG03460	MSL				YR5
HG02464	GWD				Fail Karyo
NA18538	CHB				YR5
HG02013	ACB				Fail Karyo
NA19063	JPT				YR5
NA18967	JPT				YR5
NA20866	GIH				YR5
NA20800	TSI				YR5
NA20294	ASW				YR5
HG01176	PUR				YR5
HG00150	GBR				YR5
HG02541	ACB				YR5
NA21133	GIH				YR5
HG02497	ACB				YR5
NA19360	LWK				YR5
HG03433	MSL				YR5
HG01700	IBS				YR5
HG02676	GWD				YR5
NA19055	JPT				YR5
HG03052	MSL				YR5
HG03363	ESN				Fail Karyo
NA19031	LWK				YR5
HG03733	STU				YR5
NA19314	LWK				YR5
NA18870	YRI				YR5
NA20756	TSI				YR5
NA18559	CHB				YR5
HG02364	CDX				YR5
HG04144	BEB				YR5
HG03258	GWD				YR5
NA19917	ASW				YR5
HG00254	GBR				YR5
NA19439	LWK				YR5
HG00584	CHS				YR5
NA19375	LWK				YR5
NA19679	MXL				YR5
NA19307	LWK				YR5
NA20412	ASW				YR5
HG01522	IBS				YR5
HG00355	FIN				YR5
HG03126	ESN				YR5
HG03595	BEB				YR5
HG00245	GBR				YR5
HG03557	MSL				YR5
HG03775	ITU				YR5
HG03271	ESN				YR5
HG01374	CLM				YR5
HG03432	MSL				YR5
HG00375	FIN				YR5
HG02470	ACB				YR5
NA18511	YRI				YR5
HG03890	STU				YR5
HG00689	CHS				YR5
NA19916	ASW				YR5
HG00120	GBR				YR5
HG01136	CLM				YR5
NA20796	TSI				YR5
NA19395	LWK				YR5
HG00236	GBR				YR5
HG03995	STU				YR5
HG00580	CHS				YR5
HG01479	CLM				YR5
NA19090	JPT				Fail Karyo
HG02792	PJL				Fail Karyo
NA18488	YRI				YR5
HG01624	IBS				YR5
NA19438	LWK				YR5
HG01796	CDX				YR5
NA19118	YRI				YR5
NA19035	LWK				YR5
NA18970	JPT				YR5
NA19079	JPT				YR5
HG02642	GWD				YR5
HG02140	KHV				YR5
NA18995	JPT				YR5
NA19658	MXL				YR5
HG00234	GBR				YR5
HG02373	CDX				YR5
HG02589	GWD				YR5
HG02594	GWD				YR5
HG00116	GBR				YR5
HG01204	PUR				YR5
HG02661	PJL				YR5
HG03868	ITU				YR5
NA19655	MXL				YR5
NA19445	LWK				YR5
NA19923	ASW				YR5
HG03193	ESN				YR5
NA19000	JPT				YR5
HG03882	ITU				YR5
NA18942	JPT				YR5
HG03875	ITU				YR5
NA21115	GIH				YR5
HG03567	MSL				YR5
HG03898	STU				YR5
NA19448	LWK				YR5
NA19321	LWK				YR5
NA20588	TSI				YR5
HG03366	ESN				YR5
NA19461	LWK				YR5
NA20318	ASW				YR5
NA19762	MXL				YR5
NA20801	TSI				YR5
HG00252	GBR				YR5
HG01067	PUR				YR5
HG03902	BEB				YR5
NA18547	CHB				YR5
NA20761	TSI				YR5
NA18572	CHB				YR5
NA18748	CHB				YR5
NA20342	ASW				YR5
NA19318	LWK				YR5
HG04161	BEB				YR5
NA19434					HGSVC
NA20847					HGSVC
HG00512					HGSVC
HG03452					HGSVC
NA19836					HGSVC
NA19331					HGSVC
HG00864					HGSVC
NA19129					HGSVC
HG01114					HGSVC
HG01505					HGSVC
HG04217					HGSVC
HG02492					HGSVC
HG02018					HGSVC
HG00171					HGSVC
HG02106					HGSVC
HG00096					HGSVC
HG02818					HGSVC
HG03456					HGSVC
HG00268					HGSVC
HG02059					HGSVC
NA20355					HGSVC
HG03807					HGSVC
NA18534					HGSVC
HG01596					HGSVC
HG02769					HGSVC
HG02953					HGSVC
NA19705					HGSVC
HG02587					HGSVC
NA19650					HGSVC
HG02011					HGSVC
HG04036					HGSVC
HG02554					HGSVC
HG03009					HGSVC
NA19983					HGSVC
NA20509					HGSVC
HG03065					HGSVC
HG01573					HGSVC
HG03683					HGSVC
HG03248					HGSVC
HG03371					HGSVC
HG00513					HGSVC
HG01352					HGSVC
HG02282					HGSVC
NA18939					HGSVC
HG03520					HGSVC
NA19347					HGSVC
NA19384					HGSVC
HG03079	MXL				
NA20813	TSI				
HG01675	IBS				
NA20520	TSI				
HG02757	GWD				
HG00653	CHS				
HG03267	ESN				
HG00473	CHS				
NA19701	ASW				
HG03931	BEB				
NA19213	YRI				
NA21128	GIH				
HG01369	CLM				
NA19084	JPT				
HG03571	MSL				
NA20763	TSI				
NA18599	CHB				
HG02780	PJL				
HG03461	MSL				
HG02501	ACB				
HG02944	ESN				
NA19792	MXL				
HG04022	ITU				
NA19017	LWK				
HG03838	STU				
HG02783	PJL				
HG03120	ESN				
HG03790	ITU				
NA19383	LWK				
NA19005	JPT				
NA19440	LWK				
HG00566	CHS				
HG00136	GBR				
HG00330	FIN				
HG03304	ESN				
HG03499	ESN				
NA20882	GIH				
HG01746	IBS				
NA19308	LWK				
NA19467	LWK				
HG02694	PJL				
NA18605	CHB				
NA21097	GIH				
NA20289	ASW				
NA19678	MXL				
NA20539	TSI				
HG04017	ITU				
HG03897	STU				
HG00551	PUR				
NA19025	LWK				
HG03643	STU				
NA20754	TSI				
HG02562	GWD				
HG04212	ITU				
NA18864	YRI				
NA21105	GIH				
HG00107	GBR				
HG03548	MSL				
HG03559	MSL				
NA19385	LWK				
NA20787	TSI				
NA18908	YRI				
HG03771	ITU				
HG03479	MSL				
HG02811	GWD				
HG01865	KHV				
NA21127	GIH				
HG03268	ESN				
NA20845	GIH				
HG02804	GWD				
HG00349	FIN				
HG04090	ITU				
HG02549	ACB				
NA18641	CHB				
HG03917	BEB				
NA19774	MXL				
HG01058	PUR				
HG04134	BEB				
NA19093	YRI				
NA19223	YRI				
HG00265	GBR				
HG03563	MSL				
HG04210	STU				
HG02409	CDX				
NA19449	LWK				
NA19327	LWK				
NA21094	GIH				
HG03066	MSL				
HG03157	ESN				
HG02679	GWD				
HG00233	GBR				
NA19098	YRI				
HG03351	ESN				
HG03565	MSL				
HG01049	PUR				
HG03767	PJL				
NA19474	LWK				
HG02580	ACB				
NA19372	LWK				
HG04206	ITU				
HG03774	ITU				
NA18630	CHB				
HG00187	FIN				
HG02577	ACB				
HG04060	ITU				
NA18591	CHB				
NA20903	GIH				
NA19782	MXL				
HG02309	ACB				
HG02946	ESN				
HG00500	CHS				
HG00318	FIN				
NA18561	CHB				
HG00154	GBR				
HG03869	ITU				
NA20867	GIH				
HG04164	BEB				
HG01525	IBS				
NA19088	JPT				
NA18644	CHB				
HG04006	STU				
HG03018	PJL				
HG03955	STU				
NA19197	YRI				
HG03773	ITU				
HG00278	FIN				
HG02536	ACB				
NA18635	CHB				
HG03259	GWD				
NA20543	TSI				
HG03978	ITU				
NA19152	YRI				
HG00151	GBR				
HG00326	FIN				
NA18986	JPT				
HG01528	IBS				
NA19247	YRI				
NA19761	MXL				
NA20587	TSI				
