accession	study	bioproject_accession	biosample_accession	filename	library_ID	library_strategy	library_source	platform	instrument_model	design_description	generator_facility	generator_contact	assembly	data_type	filetype	library_layout	library_selection	shear_method	title	total_bp	coverage	ntsm_score	ntsm_result	total_Gbp	sample_ID
SRR30242394	SRP305758	PRJNA701308	SAMN33621941	HG00140-1_S22_L004_R1_001.fastq.gz	HG00140-1_S22_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	37251792722	12.02	0.464198	Similar	37.251792722	HG00140
SRR30242383	SRP305758	PRJNA701308	SAMN33621941	HG00140-2_S30_L001_R1_001.fastq.gz	HG00140-2_S30_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	11657507684	3.76	0.605446	Similar	11.657507684	HG00140
SRR30242372	SRP305758	PRJNA701308	SAMN33621941	HG00140-2_S30_L002_R1_001.fastq.gz	HG00140-2_S30_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	11961656403	3.86	0.595329	Similar	11.961656403	HG00140
SRR30242364	SRP305758	PRJNA701308	SAMN33621941	HG00140-2_S30_L003_R1_001.fastq.gz	HG00140-2_S30_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	11381920704	3.67	0.605152	Similar	11.381920704	HG00140
SRR30242350	SRP305758	PRJNA701308	SAMN33621941	HG00140-2_S30_L004_R1_001.fastq.gz	HG00140-2_S30_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00140	11682855823	3.77	0.611291	Similar	11.682855823	HG00140
SRR30242339	SRP305758	PRJNA701308	SAMN33758779	HG00280-1_S21_L001_R1_001.fastq.gz	HG00280-1_S21_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	27990281383	9.03	0.511729	Similar	27.990281383	HG00280
SRR30242235	SRP305758	PRJNA701308	SAMN33758779	HG00280-1_S21_L002_R1_001.fastq.gz	HG00280-1_S21_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	30106363791	9.71	0.527324	Similar	30.106363791	HG00280
SRR30242224	SRP305758	PRJNA701308	SAMN33758779	HG00280-1_S21_L003_R1_001.fastq.gz	HG00280-1_S21_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	30105901448	9.71	0.525498	Similar	30.105901448	HG00280
SRR30242333	SRP305758	PRJNA701308	SAMN33758779	HG00280-1_S21_L004_R1_001.fastq.gz	HG00280-1_S21_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	29777940263	9.61	0.528697	Similar	29.777940263	HG00280
SRR30242321	SRP305758	PRJNA701308	SAMN33758779	HG00280-2_S29_L001_R1_001.fastq.gz	HG00280-2_S29_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	11174314891	3.6	0.596472	Similar	11.174314891	HG00280
SRR30242314	SRP305758	PRJNA701308	SAMN33758779	HG00280-2_S29_L002_R1_001.fastq.gz	HG00280-2_S29_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	12278822216	3.96	0.594296	Similar	12.278822216	HG00280
SRR30242175	SRP305758	PRJNA701308	SAMN33758779	HG00280-2_S29_L003_R1_001.fastq.gz	HG00280-2_S29_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	12282924436	3.96	0.585727	Similar	12.282924436	HG00280
SRR30242526	SRP305758	PRJNA701308	SAMN33758779	HG00280-2_S29_L004_R1_001.fastq.gz	HG00280-2_S29_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00280	12137842068	3.92	0.579023	Similar	12.137842068	HG00280
SRR30242517	SRP305758	PRJNA701308	SAMN33621942	HG00323-1_S23_L001_R1_001.fastq.gz	HG00323-1_S23_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	9307268830	3.0	0.668508	Similar	9.30726883	HG00323
SRR30242506	SRP305758	PRJNA701308	SAMN33621942	HG00323-1_S23_L002_R1_001.fastq.gz	HG00323-1_S23_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	9572806260	3.09	0.624167	Similar	9.57280626	HG00323
SRR30242207	SRP305758	PRJNA701308	SAMN33621942	HG00323-1_S23_L003_R1_001.fastq.gz	HG00323-1_S23_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	8948801097	2.89	0.663599	Similar	8.948801097	HG00323
SRR30242196	SRP305758	PRJNA701308	SAMN33621942	HG00323-1_S23_L004_R1_001.fastq.gz	HG00323-1_S23_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	9273418950	2.99	0.628386	Similar	9.27341895	HG00323
SRR30242449	SRP305758	PRJNA701308	SAMN33621942	HG00323-2_S31_L001_R1_001.fastq.gz	HG00323-2_S31_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	13454844253	4.34	0.586155	Similar	13.454844253	HG00323
SRR30242438	SRP305758	PRJNA701308	SAMN33621942	HG00323-2_S31_L002_R1_001.fastq.gz	HG00323-2_S31_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	13831739909	4.46	0.629683	Similar	13.831739909	HG00323
SRR30242306	SRP305758	PRJNA701308	SAMN33621942	HG00323-2_S31_L003_R1_001.fastq.gz	HG00323-2_S31_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	12967687388	4.18	0.604095	Similar	12.967687388	HG00323
SRR30242493	SRP305758	PRJNA701308	SAMN33621942	HG00323-2_S31_L004_R1_001.fastq.gz	HG00323-2_S31_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG00323	13422786440	4.33	0.581474	Similar	13.42278644	HG00323
SRR30242502	SRP305758	PRJNA701308	SAMN37797099	HG01530-1_S3_L001_R1_001.fastq.gz	HG01530-1_S3_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	15881878484	5.12	0.531106	Similar	15.881878484	HG01530
SRR30242424	SRP305758	PRJNA701308	SAMN37797099	HG01530-1_S3_L002_R1_001.fastq.gz	HG01530-1_S3_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	16121034186	5.2	0.543372	Similar	16.121034186	HG01530
SRR30242480	SRP305758	PRJNA701308	SAMN37797099	HG01530-1_S3_L003_R1_001.fastq.gz	HG01530-1_S3_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	15269723276	4.93	0.518959	Similar	15.269723276	HG01530
SRR30242283	SRP305758	PRJNA701308	SAMN37797099	HG01530-1_S3_L004_R1_001.fastq.gz	HG01530-1_S3_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	15150778535	4.89	0.547714	Similar	15.150778535	HG01530
SRR30242411	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11_L001_R1_001.fastq.gz	HG01530-2_S11_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	14154859985	4.57	0.572679	Similar	14.154859985	HG01530
SRR30242280	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11_L002_R1_001.fastq.gz	HG01530-2_S11_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	14365907902	4.63	0.526389	Similar	14.365907902	HG01530
SRR30242273	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11_L003_R1_001.fastq.gz	HG01530-2_S11_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	13420324024	4.33	0.544446	Similar	13.420324024	HG01530
SRR30242272	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11_L004_R1_001.fastq.gz	HG01530-2_S11_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	13477345492	4.35	0.553314	Similar	13.477345492	HG01530
SRR30242270	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11i_L001_R1_001.fastq.gz	HG01530-2_S11i_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	35830722289	11.56	0.425715	Similar	35.830722289	HG01530
SRR30242268	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11i_L002_R1_001.fastq.gz	HG01530-2_S11i_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	39351820410	12.69	0.462949	Similar	39.35182041	HG01530
SRR30242265	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11i_L003_R1_001.fastq.gz	HG01530-2_S11i_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	33977811222	10.96	0.477153	Similar	33.977811222	HG01530
SRR30242264	SRP305758	PRJNA701308	SAMN37797099	HG01530-2_S11i_L004_R1_001.fastq.gz	HG01530-2_S11i_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01530	29404032796	9.49	0.484091	Similar	29.404032796	HG01530
SRR30242262	SRP305758	PRJNA701308	SAMN37797100	HG01784-2_S31_L001_R1_001.fastq.gz	HG01784-2_S31_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01784	12386565567	4.0	0.602602	Similar	12.386565567	HG01784
SRR30242479	SRP305758	PRJNA701308	SAMN37797100	HG01784-2_S31_L002_R1_001.fastq.gz	HG01784-2_S31_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01784	13377187618	4.32	0.592402	Similar	13.377187618	HG01784
SRR30242478	SRP305758	PRJNA701308	SAMN37797100	HG01784-2_S31_L003_R1_001.fastq.gz	HG01784-2_S31_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01784	13371568307	4.31	0.583023	Similar	13.371568307	HG01784
SRR30242259	SRP305758	PRJNA701308	SAMN37797100	HG01784-2_S31_L004_R1_001.fastq.gz	HG01784-2_S31_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG01784	13250775565	4.27	0.605486	Similar	13.250775565	HG01784
SRR30242258	SRP305758	PRJNA701308	SAMN33758784	HG02040-1_S1_L001_R1_001.fastq.gz	HG02040-1_S1_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	8290570287	2.67	0.647356	Similar	8.290570287	HG02040
SRR30242257	SRP305758	PRJNA701308	SAMN33758784	HG02040-1_S1_L002_R1_001.fastq.gz	HG02040-1_S1_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	8975206509	2.9	0.620614	Similar	8.975206509	HG02040
SRR30242255	SRP305758	PRJNA701308	SAMN33758784	HG02040-1_S1_L003_R1_001.fastq.gz	HG02040-1_S1_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	8977755556	2.9	0.622793	Similar	8.977755556	HG02040
SRR30242254	SRP305758	PRJNA701308	SAMN33758784	HG02040-1_S1_L004_R1_001.fastq.gz	HG02040-1_S1_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	8864041665	2.86	0.649502	Similar	8.864041665	HG02040
SRR30242253	SRP305758	PRJNA701308	SAMN33758784	HG02040-2_S9_L001_R1_001.fastq.gz	HG02040-2_S9_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	9651428893	3.11	0.620916	Similar	9.651428893	HG02040
SRR30242252	SRP305758	PRJNA701308	SAMN33758784	HG02040-2_S9_L002_R1_001.fastq.gz	HG02040-2_S9_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	10541830391	3.4	0.612289	Similar	10.541830391	HG02040
SRR30242251	SRP305758	PRJNA701308	SAMN33758784	HG02040-2_S9_L003_R1_001.fastq.gz	HG02040-2_S9_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	10535978094	3.4	0.596701	Similar	10.535978094	HG02040
SRR30242250	SRP305758	PRJNA701308	SAMN33758784	HG02040-2_S9_L004_R1_001.fastq.gz	HG02040-2_S9_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02040	10368682458	3.34	0.611257	Similar	10.368682458	HG02040
SRR30242249	SRP305758	PRJNA701308	SAMN33621951	HG02155-1_S24_L001_R1_001.fastq.gz	HG02155-1_S24_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02155	11299227154	3.64	0.623241	Similar	11.299227154	HG02155
SRR30242248	SRP305758	PRJNA701308	SAMN33621951	HG02155-1_S24_L002_R1_001.fastq.gz	HG02155-1_S24_L002	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02155	11567425336	3.73	0.602946	Similar	11.567425336	HG02155
SRR30242247	SRP305758	PRJNA701308	SAMN33621951	HG02155-1_S24_L003_R1_001.fastq.gz	HG02155-1_S24_L003	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02155	11070056950	3.57	0.619456	Similar	11.07005695	HG02155
SRR30242246	SRP305758	PRJNA701308	SAMN33621951	HG02155-1_S24_L004_R1_001.fastq.gz	HG02155-1_S24_L004	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02155	11322530860	3.65	0.618786	Similar	11.32253086	HG02155
SRR30242244	SRP305758	PRJNA701308	SAMN33621951	HG02155-2_S32_L001_R1_001.fastq.gz	HG02155-2_S32_L001	Hi-C	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina Sequencing of Omni-C Libraries	University of California Santa Cruz	wseligma@ucsc.edu		unaligned reads	fastq	paired	RANDOM	no shear	Illumina Sequencing of Omni-C Libraries of HG02155	12578918553	4.06	0.6	Similar	12.578918553	HG02155
