sample_ID,total_bp,coverage,filetype,instrument_model,library_construction_protocol,library_layout,library_strategy,read_length,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Other Comments,path
HG04204,112500814200,36.29,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,ST006,HG03679,HG03642,1,0,STU,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04204/raw_data/Illumina/child/HG04204.final.cram
HG00639,103297494000,33.32,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PR03,HG00637,HG00638,2,0,PUR,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00639/raw_data/Illumina/child/HG00639.final.cram
HG01960,121095282000,39.06,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB11,HG01988,HG01989,2,0,ACB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01960/raw_data/Illumina/child/HG01960.final.cram
HG02056,110798827200,35.74,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN060,HG02058,HG02057,1,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02056/raw_data/Illumina/child/HG02056.final.cram
HG02129,117984755400,38.06,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN079,HG02131,HG02130,1,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02129/raw_data/Illumina/child/HG02129.final.cram
HG02280,122266447500,39.44,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB23,HG02307,HG02308,2,0,ACB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02280/raw_data/Illumina/child/HG02280.final.cram
HG01952,113746670100,36.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL019,HG01950,HG01951,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/child/HG01952.final.cram
HG01952,113746670100,36.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL019,HG01950,HG01951,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/child/HG01952.final.cram.crai
HG01952,113746670100,36.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL019,HG01950,HG01951,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/child/HG01952.final.cram.md5
HG01952,113746670100,36.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL019,HG01950,HG01951,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/parents/HG01950/HG01950.final.cram
HG01952,113746670100,36.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL019,HG01950,HG01951,1,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01952/raw_data/Illumina/parents/HG01951/HG01951.final.cram
HG02523,112387790700,36.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN090,HG02521,HG02522,2,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02523/raw_data/Illumina/child/HG02523.final.cram
HG02523,112387790700,36.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN090,HG02521,HG02522,2,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02523/raw_data/Illumina/child/HG02523.final.cram.crai
HG02523,112387790700,36.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN090,HG02521,HG02522,2,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02523/raw_data/Illumina/child/HG02523.final.cram.md5
HG02523,112387790700,36.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN090,HG02521,HG02522,2,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02523/raw_data/Illumina/parents/HG02521/HG02521.final.cram
HG02523,112387790700,36.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN090,HG02521,HG02522,2,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02523/raw_data/Illumina/parents/HG02522/HG02522.final.cram
HG02451,116697557100,37.64,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB46,HG02449,HG02450,2,0,ACB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02451/raw_data/Illumina/child/HG02451.final.cram
HG02668,106578490200,34.38,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB40,HG02666,HG02667,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02668/raw_data/Illumina/child/HG02668.final.cram
HG01887,119710600800,38.62,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BB04,HG02014,HG01886,1,0,ACB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01887/raw_data/Illumina/child/HG01887.final.cram
HG01981,113916681000,36.75,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PEL27,HG01979,HG01980,2,0,PEL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01981/raw_data/Illumina/child/HG01981.final.cram
HG02717,119895876900,38.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB50,HG02715,HG02716,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02717/raw_data/Illumina/child/HG02717.final.cram
HG02717,119895876900,38.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB50,HG02715,HG02716,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02717/raw_data/Illumina/child/HG02717.final.cram.crai
HG02717,119895876900,38.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB50,HG02715,HG02716,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02717/raw_data/Illumina/child/HG02717.final.cram.md5
HG02717,119895876900,38.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB50,HG02715,HG02716,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02717/raw_data/Illumina/parents/HG02715/HG02715.final.cram
HG02717,119895876900,38.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,GB50,HG02715,HG02716,1,0,GWD,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02717/raw_data/Illumina/parents/HG02716/HG02716.final.cram
HG00423,113361687000,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH007,HG00421,HG00422,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00423/raw_data/Illumina/child/HG00423.final.cram
HG00423,113361687000,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH007,HG00421,HG00422,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00423/raw_data/Illumina/child/HG00423.final.cram.crai
HG00423,113361687000,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH007,HG00421,HG00422,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00423/raw_data/Illumina/child/HG00423.final.cram.md5
HG00423,113361687000,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH007,HG00421,HG00422,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00423/raw_data/Illumina/parents/HG00421/HG00421.final.cram
HG00423,113361687000,36.57,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH007,HG00421,HG00422,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00423/raw_data/Illumina/parents/HG00422/HG00422.final.cram
HG03017,117788308500,38.0,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK35,HG03015,HG03016,1,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03017/raw_data/Illumina/child/HG03017.final.cram
HG03804,106238504400,34.27,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD18,HG03803,HG03802,2,0,BEB,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03804/raw_data/Illumina/child/HG03804.final.cram
HG00408,113385324300,36.58,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH002,HG00406,HG00407,2,0,CHS,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG00408/raw_data/Illumina/child/HG00408.final.cram
HG00658,110560325400,35.66,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SH074,HG00656,HG00657,1,0,CHS,child,HG00702,"HG00703,HG00703",0,0,s3://human-pangenomics/working/HPRC/HG00658/raw_data/Illumina/child/HG00658.final.cram
HG02735,121263884400,39.12,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,PK26,HG02733,HG02734,1,0,PJL,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02735/raw_data/Illumina/child/HG02735.final.cram
HG02015,118271589000,38.15,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,VN046,HG02017,HG02016,1,0,KHV,child,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02015/raw_data/Illumina/child/HG02015.final.cram
