	sample_ID	total_bp	coverage	filetype	instrument_model	Relationship
121	HG01969	117734654700	37.98	fastq	NovaSeq	child
123	HG01261	115109477100	37.13	fastq	NovaSeq	child
124	HG04160	110324412300	35.59	fastq	NovaSeq	child
126	HG03492	105918566400	34.17	fastq	NovaSeq	child
127	HG01071	115658477400	37.31	fastq	NovaSeq	child
129	NA19240	109075698000	35.19	fastq	NovaSeq	child
130	HG02083	114536268900	36.95	fastq	NovaSeq	child
132	HG04199	110442464400	35.63	fastq	NovaSeq	child
133	HG00558	109289181000	35.25	fastq	NovaSeq	child
134	HG02647	124929174000	40.3	fastq	NovaSeq	child
135	HG04115	108206234100	34.91	fastq	NovaSeq	child
136	HG01978	124966936200	40.31	fastq	NovaSeq	child
137	HG02273	110213354100	35.55	fastq	NovaSeq	child
138	HG02809	115993870200	37.42	fastq	NovaSeq	child
139	HG01361	118237764300	38.14	fastq	NovaSeq	child
141	HG01928	118780645200	38.32	fastq	NovaSeq	child
143	HG03540	122629370400	39.56	fastq	NovaSeq	child
144	HG02004	115521015900	37.26	fastq	NovaSeq	child
145	HG02293	112429458000	36.27	fastq	NovaSeq	child
146	HG04228	112703684700	36.36	fastq	NovaSeq	child
148	HG00741	115946286900	37.4	fastq	NovaSeq	child
150	HG02984	122159226000	39.41	fastq	NovaSeq	child
151	HG03516	103569275700	33.41	fastq	NovaSeq	child
152	HG02630	123371345700	39.8	fastq	NovaSeq	child
153	HG02841	116507852400	37.58	fastq	NovaSeq	child
157	HG02145	112553091600	36.31	fastq	NovaSeq	child
159	HG01884	116958342600	37.73	fastq	NovaSeq	child
160	HG02683	103692225900	33.45	fastq	NovaSeq	child
162	HG00733	112308297000	36.23	fastq	NovaSeq	child
163	HG02257	116491789200	37.58	fastq	NovaSeq	child
164	HG01175	108373848600	34.96	fastq	NovaSeq	child
165	HG00621	108833472600	35.11	fastq	NovaSeq	child
166	HG02135	117794844000	38.0	fastq	NovaSeq	child
167	HG02027	116040909600	37.43	fastq	NovaSeq	child
168	HG02071	119457197700	38.53	fastq	NovaSeq	child
169	HG03710	115625752800	37.3	fastq	NovaSeq	child
170	HG01934	121591068900	39.22	fastq	NovaSeq	child
