sample_ID,total_bp,coverage,filetype,instrument_model,library_construction_protocol,library_layout,library_strategy,read_length,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Other Comments,path
HG03136,111188400000,35.87,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG38,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03136/raw_data/Illumina/child/HG03136.final.cram
HG03270,189567396900,61.15,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG65,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03270/raw_data/Illumina/child/HG03270.final.cram
HG03343,149611524900,48.26,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG89,0,0,1,0,ESN,father,0,0,HG03352,0,s3://human-pangenomics/working/HPRC/HG03343/raw_data/Illumina/child/HG03343.final.cram
HG03369,138802343400,44.77,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG98,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03369/raw_data/Illumina/child/HG03369.final.cram
HG03372,136405976100,44.0,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG99,0,0,2,0,ESN,mother,0,0,HG03301,0,s3://human-pangenomics/working/HPRC/HG03372/raw_data/Illumina/child/HG03372.final.cram
HG03388,112038529800,36.14,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL28,0,0,1,0,MSL,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03388/raw_data/Illumina/child/HG03388.final.cram
HG03521,115772198400,37.35,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG109,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03521/raw_data/Illumina/child/HG03521.final.cram
HG03583,111373602900,35.93,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL73,0,0,2,0,MSL,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03583/raw_data/Illumina/child/HG03583.final.cram
HG03778,133141043400,42.95,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT21,0,0,1,0,ITU,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03778/raw_data/Illumina/child/HG03778.final.cram
HG03784,116321406900,37.52,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT023,0,0,2,0,ITU,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03784/raw_data/Illumina/child/HG03784.final.cram
HG03792,112814293500,36.39,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT026,0,0,1,0,ITU,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03792/raw_data/Illumina/child/HG03792.final.cram
HG03874,118145130300,38.11,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT006,0,0,2,0,ITU,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03874/raw_data/Illumina/child/HG03874.final.cram
HG03919,129881861400,41.9,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD35,0,0,2,0,BEB,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03919/raw_data/Illumina/child/HG03919.final.cram
HG04153,154717773600,49.91,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,BD51,0,0,2,0,BEB,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04153/raw_data/Illumina/child/HG04153.final.cram
HG04225,137818426200,44.46,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT231,0,0,1,0,ITU,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG04225/raw_data/Illumina/child/HG04225.final.cram
NA18505,127185626400,41.03,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y005,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18505/raw_data/Illumina/child/NA18505.final.cram
NA18508,158863810500,51.25,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y009,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18508/raw_data/Illumina/child/NA18508.final.cram
NA18523,114921109800,37.07,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y016,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18523/raw_data/Illumina/child/NA18523.final.cram
NA18871,147831657900,47.69,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y017,0,0,1,0,YRI,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18871/raw_data/Illumina/child/NA18871.final.cram
NA18879,135207334200,43.62,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y021,0,0,1,0,YRI,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18879/raw_data/Illumina/child/NA18879.final.cram
NA19099,127981615800,41.28,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y105,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19099/raw_data/Illumina/child/NA19099.final.cram
NA19131,134602521000,43.42,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y101,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19131/raw_data/Illumina/child/NA19131.final.cram
NA19175,123595654800,39.87,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y044,0,0,1,0,YRI,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19175/raw_data/Illumina/child/NA19175.final.cram
NA19190,131418876000,42.39,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y111,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19190/raw_data/Illumina/child/NA19190.final.cram
NA19682,107078654100,34.54,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,m010,0,0,1,0,MXL,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19682/raw_data/Illumina/child/NA19682.final.cram
NA19700,111741532200,36.05,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2367,0,0,1,0,ASW,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19700/raw_data/Illumina/child/NA19700.final.cram
NA19703,113022183000,36.46,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2368,0,0,1,0,ASW,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19703/raw_data/Illumina/child/NA19703.final.cram
NA19776,110225467200,35.56,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,m034,0,0,2,0,MXL,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19776/raw_data/Illumina/child/NA19776.final.cram
NA19834,142213254000,45.88,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2424,0,0,1,0,ASW,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19834/raw_data/Illumina/child/NA19834.final.cram
NA19835,141125999700,45.52,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2424,0,0,2,0,ASW,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19835/raw_data/Illumina/child/NA19835.final.cram
NA19909,109476672900,35.32,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2427,0,0,2,0,ASW,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19909/raw_data/Illumina/child/NA19909.final.cram
NA20282,106056631500,34.21,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2469,0,0,2,0,ASW,mother,NA20301,"NA20302,NA20313",0,0,s3://human-pangenomics/working/HPRC/NA20282/raw_data/Illumina/child/NA20282.final.cram
NA20287,183579372600,59.22,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2470,0,0,2,0,ASW,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA20287/raw_data/Illumina/child/NA20287.final.cram
NA20346,111107174700,35.84,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,2490,0,0,1,0,ASW,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA20346/raw_data/Illumina/child/NA20346.final.cram
NA19185,127410739500,41.1,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y039,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19185/raw_data/Illumina/child/NA19185.final.cram
HG01784,109015586700,35.17,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS053,0,0,2,0,IBS,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01784/raw_data/Illumina/child/HG01784.final.cram
NA18522,104407727100,33.68,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y016,0,0,1,0,YRI,father,0,0,0,0,s3://human-pangenomics/working/HPRC/NA18522/raw_data/Illumina/child/NA18522.final.cram
HG03742,119117517300,38.43,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IT015,0,0,1,0,ITU,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03742/raw_data/Illumina/child/HG03742.final.cram
HG03139,120759402300,38.95,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG39,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03139/raw_data/Illumina/child/HG03139.final.cram
HG02922,108193599600,34.9,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG06,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02922/raw_data/Illumina/child/HG02922.final.cram
HG01530,109816310100,35.42,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,IBS011,0,0,1,0,IBS,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG01530/raw_data/Illumina/child/HG01530.final.cram
NA19159,115901003400,37.39,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,Y056,0,0,2,0,YRI,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/NA19159/raw_data/Illumina/child/NA19159.final.cram
HG03225,111651319800,36.02,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL23,0,0,1,0,MSL,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03225/raw_data/Illumina/child/HG03225.final.cram
HG03458,103975281900,33.54,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL52,0,0,2,0,MSL,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03458/raw_data/Illumina/child/HG03458.final.cram
HG03130,148832187300,48.01,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG36,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03130/raw_data/Illumina/child/HG03130.final.cram
HG02970,102695199600,33.13,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG22,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02970/raw_data/Illumina/child/HG02970.final.cram
HG03195,112457547600,36.28,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG58,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG03195/raw_data/Illumina/child/HG03195.final.cram
HG02965,115370704200,37.22,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG20,0,0,1,0,ESN,father,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02965/raw_data/Illumina/child/HG02965.final.cram
HG03470,120413321700,38.84,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,SL56,0,0,2,0,MSL,mother,0,0,"HG03480,HG03484",0,s3://human-pangenomics/working/HPRC/HG03470/raw_data/Illumina/child/HG03470.final.cram
HG02976,114203101500,36.84,cram,Illumina NovaSeq 6000,TruSeq DNA PCR-free,PAIRED,WGS,150,NG24,0,0,2,0,ESN,mother,0,0,0,0,s3://human-pangenomics/working/HPRC/HG02976/raw_data/Illumina/child/HG02976.final.cram
