title	type	Description	Sample	Organism
Assembly of HG00438 Maternal Haplotype	Genome sequencing and assembly	HG00438 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00438	Homo sapiens
Assembly of HG00438 Paternal Haplotype	Genome sequencing and assembly	HG00438 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG00438	Homo sapiens
Assembly of NA20129 Maternal Haplotype	Genome sequencing and assembly	NA20129 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA20129	Homo sapiens
Assembly of NA20129 Paternal Haplotype	Genome sequencing and assembly	NA20129 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA20129	Homo sapiens
Assembly of HG01175 Maternal Haplotype	Genome sequencing and assembly	HG01175 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01175	Homo sapiens
Assembly of HG01175 Paternal Haplotype	Genome sequencing and assembly	HG01175 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01175	Homo sapiens
Assembly of HG02148 Maternal Haplotype	Genome sequencing and assembly	HG02148 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02148	Homo sapiens
Assembly of HG02148 Paternal Haplotype	Genome sequencing and assembly	HG02148 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02148	Homo sapiens
Assembly of HG02080 Maternal Haplotype	Genome sequencing and assembly	HG02080 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02080	Homo sapiens
Assembly of HG02080 Paternal Haplotype	Genome sequencing and assembly	HG02080 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02080	Homo sapiens
Assembly of HG01071 Maternal Haplotype	Genome sequencing and assembly	HG01071 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01071	Homo sapiens
Assembly of HG01071 Paternal Haplotype	Genome sequencing and assembly	HG01071 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01071	Homo sapiens
Assembly of HG01891 Maternal Haplotype	Genome sequencing and assembly	HG01891 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01891	Homo sapiens
Assembly of HG01891 Paternal Haplotype	Genome sequencing and assembly	HG01891 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01891	Homo sapiens
Assembly of HG01361 Maternal Haplotype	Genome sequencing and assembly	HG01361 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01361	Homo sapiens
Assembly of HG01361 Paternal Haplotype	Genome sequencing and assembly	HG01361 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01361	Homo sapiens
Assembly of HG02055 Maternal Haplotype	Genome sequencing and assembly	HG02055 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02055	Homo sapiens
Assembly of HG02055 Paternal Haplotype	Genome sequencing and assembly	HG02055 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02055	Homo sapiens
Assembly of HG02818 Maternal Haplotype	Genome sequencing and assembly	HG02818 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02818	Homo sapiens
Assembly of HG02818 Paternal Haplotype	Genome sequencing and assembly	HG02818 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02818	Homo sapiens
Assembly of HG02723 Maternal Haplotype	Genome sequencing and assembly	HG02723 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02723	Homo sapiens
Assembly of HG02723 Paternal Haplotype	Genome sequencing and assembly	HG02723 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02723	Homo sapiens
Assembly of HG01123 Maternal Haplotype	Genome sequencing and assembly	HG01123 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01123	Homo sapiens
Assembly of HG01123 Paternal Haplotype	Genome sequencing and assembly	HG01123 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01123	Homo sapiens
Assembly of NA19240 Maternal Haplotype	Genome sequencing and assembly	NA19240 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA19240	Homo sapiens
Assembly of NA19240 Paternal Haplotype	Genome sequencing and assembly	NA19240 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	NA19240	Homo sapiens
Assembly of HG03492 Maternal Haplotype	Genome sequencing and assembly	HG03492 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03492	Homo sapiens
Assembly of HG03492 Paternal Haplotype	Genome sequencing and assembly	HG03492 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG03492	Homo sapiens
Assembly of HG01952 Maternal Haplotype	Genome sequencing and assembly	HG01952 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01952	Homo sapiens
Assembly of HG01952 Paternal Haplotype	Genome sequencing and assembly	HG01952 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01952	Homo sapiens
Assembly of HG02559 Maternal Haplotype	Genome sequencing and assembly	HG02559 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02559	Homo sapiens
Assembly of HG02559 Paternal Haplotype	Genome sequencing and assembly	HG02559 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG02559	Homo sapiens
Assembly of HG01928 Maternal Haplotype	Genome sequencing and assembly	HG01928 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01928	Homo sapiens
Assembly of HG01928 Paternal Haplotype	Genome sequencing and assembly	HG01928 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01928	Homo sapiens
Assembly of HG01978 Maternal Haplotype	Genome sequencing and assembly	HG01978 maternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01978	Homo sapiens
Assembly of HG01978 Paternal Haplotype	Genome sequencing and assembly	HG01978 paternal assembly generated by the Human Pangenome Reference Consortium using trio phasing.	HG01978	Homo sapiens
